Date,nps,Comment
4/17/23 7:04,10,Es la primera vez que viajo por Viva Aerobus y hasta ahora ha sido una muy buena experiencia
4/17/23 5:11,10,por su rapidez
4/17/23 5:03,9,Es sencilla y tiene buenas ofertas.
4/17/23 4:02,10,FACIL Y RAPIDO
4/17/23 3:16,10,muy intuitiva y rapido el procedimiento
4/17/23 2:58,10,OK
4/17/23 2:36,10,practico
4/17/23 2:21,10,"Es muy amigable la pagina, no se traba y es muy claro todo"
4/17/23 2:11,10,Bien!
4/17/23 1:51,9,BUEN SERVICIO
4/17/23 1:34,9,muy sencillo
4/17/23 1:24,9,Es bueno
4/17/23 0:59,10,Fue rapido el tema
4/17/23 0:41,10,POR QUE ES LA MEJOR OPCION PARA AGILIZAR EL ABORDAJE
4/17/23 0:40,9,.
4/17/23 0:37,9,Por economia
4/17/23 0:33,10,LAS VECES QUE UTILIZADO EL SERVICIO HE QUEDADO SATISF
4/17/23 0:26,10,exelentemente explicado
4/17/23 0:22,10,m
4/16/23 23:56,10,PRACTICO
4/16/23 23:53,10,por su buen servicio
4/16/23 23:48,10,Al parecer es muy fácil
4/16/23 23:36,10,MUY SENCILLO DE UTILIZAR
4/16/23 23:36,10,Fue rápido y efectivo
4/16/23 23:08,9,RAPIDA
4/16/23 22:57,10,PAGINA RAPIDA Y AMIGABLE
4/16/23 22:40,10,FUE RAPIDO Y FACIL
4/16/23 22:29,9,muy sencillo
4/16/23 22:21,9,ENLACES DIRECTOS
4/16/23 22:06,10,FUE MUY SENCILLO
4/16/23 22:00,10,Eficiente
4/16/23 21:56,10,Rapido
4/16/23 21:47,10,EFCIENTE SERVICIO
4/16/23 21:21,10,excelente servicio
4/16/23 21:09,9,facil y rapido
4/16/23 21:03,10,:)
4/16/23 21:00,10,FACCIL Y RAPIDO
4/16/23 20:32,10,bien
4/16/23 20:30,10,eS MUY RAPIDO
4/16/23 20:27,10,indicaciones para imprimir los pases de abordar
4/16/23 20:24,10,eficiencia
4/16/23 20:05,10,MUY SENCILLO
4/16/23 20:03,10,fue facil de hacerlo
4/16/23 19:45,10,Muy fácil y rápido
4/16/23 19:39,10,facil y rapido
4/16/23 19:36,10,super rapido sencillo y facil de hacer
4/16/23 19:32,10,rapido y facil
4/16/23 19:31,10,FACIL DE MANEJAR
4/16/23 19:30,10,"Fue muy agil el proceso, excelente servicio"
4/16/23 19:12,9,TODO OK
4/16/23 18:31,10,FACIL Y SENCILLO
4/16/23 18:28,10,buena aereolinea
4/16/23 18:24,9,porque es seguro ya he viajado varias veces por este linea.
4/16/23 18:14,9,CONFIABLE
4/16/23 17:45,10,excelente servicio
4/16/23 17:32,10,"es la primera vez que voy a viajar, y la información es clara."
4/16/23 17:11,10,no
4/16/23 17:07,10,muy buen servicio
4/16/23 17:06,10,eficacia
4/16/23 16:47,10,excelente servicio
4/16/23 16:40,10,"ES LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO! HE TENIDO PROBLEMAS? SI, PERO SIGUE SIENDO LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO"
4/16/23 16:34,10,EFICIENCIA
4/16/23 16:34,10,es rapido
4/16/23 16:21,9,RAPIDO
4/16/23 16:20,9,facil y amigable
4/16/23 16:13,10,EFICIENTE
4/16/23 15:58,10,rapidez
4/16/23 15:42,10,eficiente rapidez
4/16/23 15:35,10,Sencillo y fácil
4/16/23 15:27,10,excelente servicio
4/16/23 15:05,9,Rapidez
4/16/23 14:26,9,cambios de tarifas
4/16/23 13:07,10,POR LO EXTRAORDINARIO DE SU SERVICIO Y NOVEDOSO
4/16/23 12:35,10,.
4/16/23 6:57,10,OK
4/16/23 6:47,10,Es muy fácil hacer el Check Inn
4/16/23 6:06,10,Bueno
4/16/23 5:43,9,FACIL Y RAPIDO
4/16/23 5:42,10,Porque sí.
4/16/23 5:33,10,Check-in rapido y facil
4/16/23 5:29,10,RAPIDEZ
4/16/23 5:22,9,facil y practica la pagina
4/16/23 5:00,10,"solo que me cambiaron los precios , yo quería comprar viva fan y tampoco me dejó"
4/16/23 4:43,10,POR QUE ES LA MEJOR AEROLINEA DE MEXICO
4/16/23 4:26,10,Excelencia en servicio
4/16/23 3:52,10,Muy rápido
4/16/23 3:22,10,es facil de llenar la forma. solo que cambiaron el asiento de casi $80 a mas de $200 al momento que hacia el llenado de la reserva
4/16/23 3:08,9,es facil
4/16/23 3:03,9,"En la aplicación piden inforación adicional al numero de pasaporte y no indica clarmente cual es esa información, y en el telefono casi una hora para atender mi llamada."
4/16/23 2:54,10,Es muy Interativo
4/16/23 2:17,10,Porque es muy facil
4/16/23 2:10,10,me gusta el servicio que brinda la aerolinea
4/16/23 1:50,10,FLEXIBLE
4/16/23 1:49,9,POR LO DINÁMICO
4/16/23 1:40,10,por que es muy ágil
4/16/23 1:37,10,FUE MUY RAPIDO
4/16/23 1:33,10,Buen precio y eficiente
4/16/23 1:25,9,eficacia
4/16/23 1:09,10,Porque es facil
4/16/23 0:35,9,Porque es fácil
4/16/23 0:26,10,rapida
4/16/23 0:16,9,por lo rapido
4/16/23 0:12,10,son pasos faciles y muy sencillos .
4/15/23 23:48,9,es practico
4/15/23 23:39,9,Sistema amigable y agil
4/15/23 23:34,10,facil y rapido
4/15/23 23:31,9,Es amigable
4/15/23 22:53,9,facil
4/15/23 22:03,9,X
4/15/23 22:02,10,Fácil
4/15/23 21:42,9,bUENOS VUELOS
4/15/23 21:39,9,ES BUENO
4/15/23 21:29,10,rapido y sencillo
4/15/23 21:27,9,por practico y economico los vuelos
4/15/23 21:17,10,muy facil y rapido
4/15/23 21:16,10,ok
4/15/23 21:01,10,por que si
4/15/23 20:51,10,Facil
4/15/23 20:51,10,Todo tramite es facil y rapido
4/15/23 20:32,10,ES SENCILLO
4/15/23 20:23,10,genial
4/15/23 19:57,10,muy facil de usar
4/15/23 19:35,10,Es fácil y rápido muy sencillo y ahorramos tiempo.
4/15/23 19:02,10,EL PROCESO ES BASTANTE CLARO Y SIMPLE
4/15/23 18:53,10,TIENE BUENA ATENCION EN GENERAL CON LAS PERSONAS CON DISCAPACIDAD O AL MENOS EN MI CASO
4/15/23 18:19,10,excelente pagina
4/15/23 18:17,9,Va todo muy bien y a tiempo
4/15/23 17:59,9,por que es práctico
4/15/23 17:56,10,.
4/15/23 17:46,9,PORQUE FUE MUY RÁPIDO
4/15/23 17:44,9,Efectividad
4/15/23 17:39,10,POR FACIL ACCESO
4/15/23 17:38,10,Siempre he tenido buenas experiencias viajando con viva aerobus.
4/15/23 17:35,10,muy ágil el proceso
4/15/23 17:32,10,Porque fue muy rápido
4/15/23 17:32,9,Agilidad
4/15/23 17:27,9,ESTA FACIL Y RAPIDO
4/15/23 17:13,10,RAPIDEZ Y SEGURIDAD
4/15/23 17:12,10,Excelente todo
4/15/23 17:04,10,facil
4/15/23 16:56,10,Rapido!
4/15/23 16:45,10,rapida y sencilla
4/15/23 16:45,10,soy buenos y accecibles
4/15/23 16:42,10,OK
4/15/23 16:39,10,Es facil
4/15/23 16:39,10,EXCELENTE SERVICIO
4/15/23 16:38,9,Por practicidad
4/15/23 16:19,10,RAPIDEZ
4/15/23 16:12,10,RAPIDO ME LL
4/15/23 16:08,10,economia
4/15/23 15:45,10,la facilidad de seleccion
4/15/23 15:26,10,excelente y simple manera de comprar
4/15/23 15:17,10,POR EL SERVICIO
4/15/23 15:14,10,HAY MUCHA FLEXIBILIDAD E INFORMACION FACIL
4/15/23 15:12,9,Fue sencillo.
4/15/23 15:11,10,economico
4/15/23 14:57,10,bien
4/15/23 14:55,10,ES FACIL EL PROCESO
4/15/23 14:46,10,mas agilidad en los tramites
4/15/23 14:20,10,ok
4/15/23 14:17,10,rapidez y eficencia
4/15/23 13:12,9,Facil y Rapido
4/15/23 12:49,9,FUE RAPIDO
4/15/23 9:47,10,Could not translate webpage to english.
4/15/23 6:30,10,super facil
4/15/23 6:09,10,Es muy rápido
4/15/23 6:06,10,"Sencillo, rápido y eficiente"
4/15/23 5:48,10,EFICIENCIA
4/15/23 4:28,10,facil
4/15/23 4:16,10,FÁCIL TRÁMITE
4/15/23 3:57,10,ME PARECE MUY BIEN
4/15/23 3:48,10,es muy facil hacer el check-in
4/15/23 3:37,9,Excelente servicio de reservaciones
4/15/23 3:32,10,excelente
4/15/23 3:26,10,es rapida
4/15/23 2:38,9,no vi mi asiento
4/15/23 2:37,9,"esta sencillo, no di un 10 porque aveces no era obvio como continuar a la siguiente pantalla"
4/15/23 2:36,10,porque si
4/15/23 2:36,9,SON BUENOS
4/15/23 2:29,10,bien
4/15/23 1:44,10,cambiaron el modo de viajar en el pais
4/15/23 1:24,9,ok
4/15/23 1:24,10,COMODIDAD
4/15/23 1:17,10,BIEN
4/15/23 1:02,10,todo muy facil gracias
4/15/23 0:34,10,practicidad
4/15/23 0:08,9,Facilidad.
4/15/23 0:01,10,ES MUY SENCILLO
4/14/23 23:54,10,disponibilidad de vuelos
4/14/23 23:42,10,"Facil de navegar su sitio web, los mejores precios!"
4/14/23 23:37,10,rapides
4/14/23 23:31,10,los quiero mucho
4/14/23 23:18,10,Rápido y fácil de realizar
4/14/23 23:05,9,ok
4/14/23 23:05,10,FACILIDAD D RESERVAR
4/14/23 23:04,9,Rapidez
4/14/23 23:04,10,PARA EVITAR ATRASOS
4/14/23 23:02,10,ES FACIL
4/14/23 22:54,10,porque no imprimes en papel y es mucho mas sencillo el abordaje
4/14/23 22:52,10,EXCELENTE SERVIVIO
4/14/23 22:44,10,Andrea Perez de el call center fue muy amable!Gracias por su servicio y ayuda
4/14/23 22:33,10,muy facil
4/14/23 22:26,10,Buen servicio
4/14/23 22:12,10,OK
4/14/23 21:46,10,todo muy bien
4/14/23 21:45,10,eficiencia y claridad en el servicio
4/14/23 21:12,10,BUENA ATENION
4/14/23 21:03,10,FACILIDAD DE VIAJAR Y DOCUMENTAR
4/14/23 20:51,10,Pasos sencillos
4/14/23 20:37,10,Muy buen servicio
4/14/23 20:32,10,X
4/14/23 20:27,10,Es muy sencillo
4/14/23 20:04,10,FUE MUY SENCILLO HACER EL CHECK INN
4/14/23 19:52,9,ME FUE MUY ACCESIBLE
4/14/23 19:48,10,"Confío en VIVA Airlines. precio barato. Los vuelos de aerolíneas son numerosos. Muy selectivo. Además, el servicio de VIVA Airlines es de primera clase."
4/14/23 19:46,9,Sin mayores inconvenientes
4/14/23 19:45,9,ES SENCILLO
4/14/23 19:40,9,ENCONTRE EL VUELO QUE NECESITABA
4/14/23 19:37,10,es muy intuitiva y amigable
4/14/23 19:36,10,facil
4/14/23 19:35,10,precios
4/14/23 19:33,9,ES AGIL Y RAPIDO
4/14/23 19:29,10,ES SENCILLO EL MENÚ.
4/14/23 19:16,10,rápido y sencillo
4/14/23 19:01,10,es muy claro en sus indicaciones y restricciones.
4/14/23 19:00,9,ok
4/14/23 18:59,9,rapido
4/14/23 18:57,10,Por ser muy rápido y practico
4/14/23 18:46,10,ES FACIL
4/14/23 18:44,10,facilidad
4/14/23 18:44,10,Gracias
4/14/23 18:39,10,me encanta su sistema
4/14/23 18:20,10,ES MUY FACIL Y RAPIDO EL SERVICIO
4/14/23 18:18,10,Fácil de hacer
4/14/23 18:13,10,PORQUE ME PARECE MUY SEGURO EL VIAJE
4/14/23 18:13,10,POR RAPIDO Y COMODO
4/14/23 18:04,10,fácil y rápido
4/14/23 18:04,10,Facilidad
4/14/23 18:02,10,PORQUE ES MUY SENCILLO
4/14/23 18:02,10,TODO HA SIDO OK EN LOS VUEKOS UE HE HECHO
4/14/23 18:00,10,"BUENA ATENCION Y EXCELENTE SERVICIO, DESDE LA RESERVACION Y EL MOSTRADOR"
4/14/23 17:58,9,"Bastante buena, muy intuitiva."
4/14/23 17:54,10,Para eficientar el abordaje
4/14/23 17:52,10,COOL
4/14/23 17:48,10,Es muy fácil usar la página
4/14/23 17:48,10,muy practico y fácil de realizar
4/14/23 17:40,10,eficientes
4/14/23 17:33,10,Muy bien
4/14/23 17:27,10,excelente atencion en linea
4/14/23 17:26,10,POR SERIEDAD Y CUMPLIMIENTO
4/14/23 17:24,10,super rápido el proceso
4/14/23 17:20,10,GRACIAS
4/14/23 17:06,10,excelente
4/14/23 17:03,10,agil
4/14/23 17:02,9,ATENCION
4/14/23 17:01,9,Fácil manejo
4/14/23 17:00,10,muy practica
4/14/23 16:53,10,Rapido y facil
4/14/23 16:49,10,es muy rapido
4/14/23 16:46,10,apenas lo haré pero bueno ya te califique
4/14/23 16:36,9,facilidad
4/14/23 16:35,10,Tienen buen sistema
4/14/23 16:34,10,MUY RAPIDO Y SENCILLO.
4/14/23 16:31,10,muy practico
4/14/23 16:28,10,PUNTUALIDAD
4/14/23 16:28,10,SERVICIO EXCELENTE
4/14/23 16:22,10,Muy buen  servicio
4/14/23 16:09,9,facil y rapido
4/14/23 16:01,10,Excelente
4/14/23 16:01,10,excelente servicio
4/14/23 15:53,10,Sencillo
4/14/23 15:43,9,FACIL Y RAPIDO
4/14/23 15:42,9,EFICIENTE
4/14/23 15:41,10,seervicio
4/14/23 15:39,10,ES MUY FACIL CUMPLE MUY BIEN
4/14/23 15:34,9,precio y caidad
4/14/23 15:22,10,economico
4/14/23 15:18,10,buen servicio
4/14/23 15:17,10,RAPIDO
4/14/23 15:10,10,me parecio perfecto y aparte rapido
4/14/23 15:10,10,Rapidez
4/14/23 14:54,10,ok
4/14/23 14:41,10,Fácil y rápido
4/14/23 14:29,10,PRECIO
4/14/23 13:56,10,es muy fácil y muy amigable el sistema
4/14/23 13:53,9,buen servicio
4/14/23 13:08,10,facil
4/14/23 12:37,10,Muy Sencillo
4/14/23 12:32,9,si
4/14/23 12:29,10,por el servicio atento
4/14/23 8:47,10,SON LOS MEJORES!!!!
4/14/23 6:43,10,facil de manejar
4/14/23 5:58,10,j
4/14/23 5:11,9,"Agil y fácil. lo que no entendí es porque cobran por reservar los asientos, aun en la clase economica"
4/14/23 4:43,10,Porque agiliza el embarque
4/14/23 4:43,10,Por precio
4/14/23 4:25,10,Es muy sencillo
4/14/23 4:12,9,PORQUE SI
4/14/23 4:02,10,MEJORA EL SERVICIO
4/14/23 3:28,10,excelente
4/14/23 3:12,10,facil y rapido
4/14/23 3:00,10,EASTA MUY FACIL DE REALIZARLO
4/14/23 2:45,10,Muy fácil de usar.
4/14/23 2:45,10,BUEN SERVICIO
4/14/23 2:23,9,Proceso ágil
4/14/23 1:43,10,facilidad
4/14/23 1:25,9,rapido y facil
4/14/23 1:18,10,NOMAS
4/14/23 1:13,10,Muy facil
4/14/23 1:13,10,TODO MUY FACIL Y ACCESIBLE
4/14/23 0:52,10,muy amigable la pagina y practica . Gracias
4/14/23 0:49,10,ES RÁPIDO
4/14/23 0:41,10,porque
4/14/23 0:38,10,es muy facil y rapido.
4/14/23 0:33,9,es facil y rapido
4/14/23 0:27,10,buen servicio
4/14/23 0:26,9,Porque es fácil y rápido
4/14/23 0:12,10,VUELOS A TIEMPO Y SERVICIO
4/13/23 23:59,10,facil de usar
4/13/23 23:59,10,Puntualidad en sus vuelos
4/13/23 23:52,10,Excelente servicio
4/13/23 23:47,10,Muy sencillo y rápido
4/13/23 23:42,10,ES UN EXCELENTE SERVICIO
4/13/23 23:36,9,FACIL
4/13/23 23:36,10,"Precio Economico , todavia no me he subido al avion"
4/13/23 23:35,10,MUY RAPIDOS Y EFICAZ
4/13/23 22:37,10,porque es muy facil
4/13/23 22:20,10,bueno
4/13/23 22:11,10,EXCELENTE SERVICIO. MUY FACIL DE USAR
4/13/23 21:50,9,RAPIDO
4/13/23 21:47,10,eficinecia y precios
4/13/23 21:34,10,ok
4/13/23 21:32,9,facil de usar
4/13/23 21:16,10,facilidad
4/13/23 21:14,10,muy rapido
4/13/23 21:13,10,RAPIDA Y SEGURA
4/13/23 21:09,10,Rapida y eficiente
4/13/23 20:51,10,rapido
4/13/23 20:49,10,es rapidísimo!
4/13/23 20:37,10,TE AGILIZA EL PROCESO
4/13/23 20:36,10,EFECTIVA Y RÁPIDA
4/13/23 20:34,10,por sencillo
4/13/23 20:27,10,44R45R4
4/13/23 20:25,9,Se ahorra tiempo
4/13/23 20:22,10,Intuitivo
4/13/23 20:01,10,si
4/13/23 19:52,10,Es muy fácil y te ahorras hacer fila en el aeropuerto
4/13/23 19:49,10,ahorra tiempo yes muy practico
4/13/23 19:24,10,Pagina amigable
4/13/23 19:16,10,RUTAS DIRECTAS
4/13/23 19:15,9,BUEN SERVICIO
4/13/23 19:10,10,..
4/13/23 18:59,10,RAPIDEZ Y AMABILIDAD
4/13/23 18:56,10,BUEN SERVICIO
4/13/23 18:53,10,excelente servicio!!!
4/13/23 18:50,10,MUY RAPIDO
4/13/23 18:48,10,Geografía
4/13/23 18:46,10,muy rapido
4/13/23 18:38,10,buen servicio
4/13/23 18:35,10,BUEN SERVICIO
4/13/23 18:28,10,ES LA MEJOR EMPRESA AEREA. SE ESTA QUEDANDO CORTO AEROMEXICO
4/13/23 18:22,10,facil
4/13/23 18:21,9,Por la rapidez
4/13/23 18:06,9,hasta el momento ha sido rápido
4/13/23 18:00,10,MEJOR AEROLINEA
4/13/23 17:58,10,EFICIENTE
4/13/23 17:52,10,MUY ACCESIBLE
4/13/23 17:49,10,MUY RAPIDO
4/13/23 17:47,10,TODO FUE CLARO
4/13/23 17:44,10,"Porque es como me gusta, Fácil y Rápido"
4/13/23 17:32,10,OK
4/13/23 17:29,10,Facil de utilizar
4/13/23 17:28,9,OK
4/13/23 17:24,10,MUY PRACTICA
4/13/23 17:21,10,muy practico
4/13/23 17:19,10,muy amigable la pagina
4/13/23 17:15,10,Fácil y rapido
4/13/23 17:14,10,SII
4/13/23 17:06,10,ES BUENA
4/13/23 16:56,9,muy sencilllo el registro
4/13/23 16:49,10,bueno
4/13/23 16:39,10,COMPRE MUY RAPIDO Y A BUEN PRECIO
4/13/23 16:34,10,Facil
4/13/23 16:29,10,Muy ágil
4/13/23 16:27,10,Fué fácil
4/13/23 16:27,9,facilidad
4/13/23 16:26,10,MUY SENCILLO
4/13/23 16:24,10,Fue muy ágil el proceso para realizar el check in
4/13/23 16:18,10,FACILIDAD DE HACER CHECK IN
4/13/23 16:16,9,por la rapidez
4/13/23 16:12,9,Por que permite hacer el chek in con anticipacón y evitamos filas
4/13/23 16:08,9,Rapidez ...
4/13/23 16:07,10,fue facil y rapido
4/13/23 16:07,10,se busca eficiencia
4/13/23 15:56,10,.
4/13/23 15:55,10,muy amigable el proceso y facil de comprender
4/13/23 15:54,10,gracias
4/13/23 15:53,9,Facil y rapido
4/13/23 15:47,10,por el servicio
4/13/23 15:34,9,Friendly
4/13/23 15:34,9,rapido
4/13/23 15:26,10,POR LO FACIL QUE ES USAR SU SISTEMA
4/13/23 15:23,10,BIEN
4/13/23 15:22,9,Muy buen servicio
4/13/23 15:10,10,todo ok
4/13/23 14:55,10,muy agil y amigable
4/13/23 14:39,10,Es muy rápido
4/13/23 14:33,10,ECONOMIA
4/13/23 14:21,10,MUY BUEN SERVICIO
4/13/23 13:53,10,muy rápido
4/13/23 13:40,10,Es rapido
4/13/23 12:46,10,MUY FACIL
4/13/23 12:29,10,"ES FACIL Y MUY RÁPIDO, EVITAS CONTRATIEMPOS"
4/13/23 11:59,10,todo ha sido muy simple de hacer
4/13/23 5:57,10,FACIL
4/13/23 5:42,10,OK
4/13/23 5:29,10,muy fácil de navegar
4/13/23 4:40,10,AVIONES EN CONDICIONES ACEPTABLES
4/13/23 4:37,9,BUENO
4/13/23 4:33,10,AMIGABLE
4/13/23 4:30,9,es muy buena aerolinea
4/13/23 4:19,9,ECONOMIA
4/13/23 4:06,10,POR LO FACIL
4/13/23 3:48,9,ES FACIL
4/13/23 3:18,10,fue muy facil
4/13/23 3:13,10,eficaz
4/13/23 2:58,10,excelente servicio
4/13/23 2:41,10,RAPIDO
4/13/23 2:31,10,Excelente servicio
4/13/23 2:26,9,Es bueno y comodo
4/13/23 2:21,10,Facil acceso y navegacion. Letra grande
4/13/23 2:14,10,ME GUSTA
4/13/23 2:03,10,"facil de utilizar , agil"
4/13/23 2:02,9,si
4/13/23 1:43,9,Buen Servicio
4/13/23 1:37,10,es muy facil
4/13/23 1:30,10,Facil de utilizar y no se pierde tiempo.
4/13/23 1:27,10,:)
4/13/23 1:19,10,facilidad y rapidez
4/13/23 0:48,10,good
4/13/23 0:38,10,Excelente servicio.
4/13/23 0:29,10,es una aerolinea confiable
4/13/23 0:26,10,por buen servicio
4/13/23 0:24,10,Eficiencia
4/13/23 0:03,10,muy buen servicio
4/13/23 0:00,10,TODO BIEN
4/13/23 0:00,10,INTUITIVO
4/12/23 23:51,10,OK
4/12/23 23:50,10,excelente servico
4/12/23 23:43,10,alguien mas compro los boletos
4/12/23 23:40,10,LA ATENCION RAPIDA
4/12/23 23:28,10,Son una muy buena aerolínea. Puntual y de precios justos
4/12/23 23:13,10,Rápido y sencillo de completar
4/12/23 23:12,10,Por la agilidad al navegar
4/12/23 23:11,10,Rapidez
4/12/23 23:11,10,Es fácil
4/12/23 23:00,10,"Bastante sencillo, pocos pasos y muy claro."
4/12/23 22:33,10,Por todo
4/12/23 22:31,10,Realmente sencillo hacer el check in
4/12/23 22:30,10,Facil acceso via internet sin filas
4/12/23 22:20,10,POR SU CONSTANTE MEJORIA Y SERVICIO
4/12/23 22:10,9,Es rapido y lo puedes hacer muchos dias antes
4/12/23 22:07,10,EXCELENTE PAGINA
4/12/23 21:47,10,ORGANIZADOS
4/12/23 21:43,10,"es entendible, facil acceso, no confuso"
4/12/23 21:41,10,práctico
4/12/23 21:41,10,Por eficientes.
4/12/23 21:33,10,excelente
4/12/23 21:24,9,es muy rapido
4/12/23 21:22,10,MUY PRACTICA
4/12/23 21:18,10,porque lo hago a mi ritmo
4/12/23 21:10,10,.
4/12/23 21:01,10,super agil y sencilla de usar
4/12/23 20:51,10,practico
4/12/23 20:38,9,POR EL TIEMPO
4/12/23 20:27,10,RAPIDEZ
4/12/23 20:26,10,es la primera vez que viajo y está muy claro todo.
4/12/23 20:20,9,Sencillo y práctico
4/12/23 20:16,10,sencillo de usar
4/12/23 20:11,9,El proceso de check in se sencillo y claro
4/12/23 20:10,10,Trámite rápido y sencillo.
4/12/23 20:10,10,TIENE VUELOS ECONOMICOS
4/12/23 20:00,10,rapido y confiable
4/12/23 20:00,9,puntuales
4/12/23 19:58,10,EXCELNETE SERVICIO
4/12/23 19:52,9,Muy buen wizard!
4/12/23 19:47,10,FACILIDAD PARA REALIZAR
4/12/23 19:47,10,flexibilidad
4/12/23 19:42,10,RAPIDEZ
4/12/23 19:40,9,la pag mas rapida
4/12/23 19:39,10,MUY RAPIDO
4/12/23 19:38,9,RAPIDO
4/12/23 19:32,10,fue facil
4/12/23 19:30,10,rápida y ágil
4/12/23 19:09,10,bie
4/12/23 18:55,9,buen sistema
4/12/23 18:54,10,Nice
4/12/23 18:38,10,PORQUE ME GUSTAN VUELOS DIRECTOS
4/12/23 18:27,10,buenos precios
4/12/23 18:27,10,SUPER FACIL Y RAPIDO
4/12/23 18:20,10,por sencillo
4/12/23 18:05,10,todo facil
4/12/23 17:55,9,hasta el momento buena experiencia
4/12/23 17:51,10,rapidez
