Date,nps,text
3/1/23 0:06,3,NO COBRANDO CONCEPTOS ABSURDOS. TODO QUIEREN COBRAR HSDPTM
3/1/23 0:04,0,Way to much extra charges and try to get me to buy more.
3/1/23 0:02,8,"MENOS OPCIONES, MÁS RAPIDO SABER EL TOTAL A PAGAR"
2/28/23 23:56,8,DAR INFORMACION MAS CLARA
2/28/23 23:52,6,"Marca error con tarjetas de crédito, arroja que los datos son incorrectos"
2/28/23 23:50,7,"De repente me molesto no saber el cargo del rembolso que me incluyeron, hasta que vi el porque. Me hubiera gustado que me avisaran antes de cargarlo."
2/28/23 23:34,5,NO AUMENTANDO PRECIOS
2/28/23 23:34,6,LOS COSTOS SON TOTALMENTE DISTINTOS
2/28/23 23:29,7,SIMPLIFICAR LA CANTIDAD DE INFORMACION E IMAGENES
2/28/23 23:14,8,MEJORAR LA REVISOON DE ASIENTOS DISPONIBLES ANTES DE LA RESERVA
2/28/23 23:12,0,falla en el pago de tarjeta de credito para promocion a meses sin intereses
2/28/23 23:05,8,Haciendo más claro el proceso de reservación
2/28/23 22:59,8,me mandan encuesta antes de terminar
2/28/23 22:59,3,ES UN PROBLEMA PARA REALIZAR LOS PAGOS
2/28/23 22:59,7,NO PONER SERVICIOS COMO EL TRANSFER AUTOMATICO
2/28/23 22:58,0,pagina engañosa
2/28/23 22:47,5,respetando los precios dichos al iniciar la compra
2/28/23 22:41,8,"ser más específicos en los costos adicionales, todo lo demás excelente."
2/28/23 22:41,8,promociones MSI
2/28/23 22:40,7,En la tarifa que cotizan deberían mostré con el TU A incluido.
2/28/23 22:38,8,"Son muchas preguntas, deberian de hacerlas todas en una sola ventana"
2/28/23 22:28,3,LOS ASIENTOS NO DEBERÍAN DE TENER TODOS UN COSTO EXTRA
2/28/23 22:27,5,TRAMPOSOS.
2/28/23 22:27,4,NO ME DEJA REALIZAR MI PAGO EN LÍNEA Y CREO QUE NO DEBIERON HABER QUITADO LOS PAGOS DIFERIDOS CON OTRAS TARJETAS DE CRÉDITO
2/28/23 22:20,5,Sin tantos cobros escondidos como son asiento y pista de aterrizaje
2/28/23 22:00,7,A veces se trababa la página
2/28/23 22:00,7,son demasiadas preguntas y decisiones
2/28/23 21:57,7,"MENOS TRAMITES, MÁS RAPIDEZ"
2/28/23 21:54,0,no hacer todo tan dificil y tratando de cobrar qualquier cosa
2/28/23 21:54,8,LA APP UN POCO COMPLICADA
2/28/23 21:50,7,No tienen descuento de adulto mayor
2/28/23 21:42,8,V
2/28/23 21:42,6,.
2/28/23 21:36,4,HACERLA MAS AMIGABLE
2/28/23 21:16,8,.
2/28/23 21:12,8,queremos um acesso a cia que es top! jander@triponline.tur.br
2/28/23 21:05,4,se trabo a la hora de registrar los datos de mi tarjeta y el precio incremento demasiado de un dia a otro
2/28/23 21:04,3,"INCLUIR MENOS COSTOS, COBRAN ASIENTOS"
2/28/23 20:50,0,muy mal servicio para forma de pagos
2/28/23 20:43,7,Más claridad en el proceso de compra
2/28/23 20:39,8,precios
2/28/23 20:39,5,"resolviendo el problema que tienen para iniciar sesion en usuario, yo ya tengo uno creado con mi correo pero fue imposible acceder, intente durante semanas y siempre da el mismo puto error, les mande un correo a su soport y no contestan, basicamente no les interesa. Si su sistema de puntos funciona por favor agreguen este vuelo a mi cuenta! gracias!"
2/28/23 20:35,8,Muchos precios agregados
2/28/23 20:35,6,No añadir costos si el cliente no los seleccionó
2/28/23 20:33,8,EL SISTEMA NO ES AMIGABLE CON LA DEFINICIÓN DE LAS FECHAS
2/28/23 20:33,3,esta muy complicada la pagina
2/28/23 20:32,0,no da informacion bien  y no deja pagar
2/28/23 20:24,5,Mejores precios en TUA por que el vuelo muy barato pero el impuesto carísimo.. sale lo mismo
2/28/23 20:23,2,"Hay mucha discrepancia en los precios, sale mejor incluir el vuelo con el TUA"
2/28/23 20:19,5,"Muy lentoMuchos cargos extras, es mejor mostrar el valor total del boleto incluido el TUA"
2/28/23 20:16,0,no processa las transactiones
2/28/23 19:56,5,te agregan muchas cosas inservibles
2/28/23 19:49,7,La compra se realiza en demasiados pasos. Sería más práctico que todo viniera desglosado en la misma página
2/28/23 19:42,3,No hay sistema parta pago con tarjetas
2/28/23 19:40,7,CONCENTRANDO  EL PAGO
2/28/23 19:36,7,a
2/28/23 19:36,7,Aumentan costos por cada selección
2/28/23 19:33,8,"mas claro aggregando la TUA, calendario de precio mas claros"
2/28/23 19:27,8,Me gustaría agregar todo individualmente y no por grupo
2/28/23 19:14,8,experiencia del usuario
2/28/23 18:58,8,"Intentan vender hasta Alka Seltzer y curitas en este proceso, lo que lo conviente en muchos pasos, podrían omitir uno de ellos para agilizar la compra"
2/28/23 18:50,0,No me deja pagar!!!
2/28/23 18:49,7,ser mas directos demaciadas opciones
2/28/23 18:49,0,no pude hacer mi reservacion con mi tarjeta
2/28/23 18:47,3,Demasiadas opciones de engaño.
2/28/23 18:45,8,Precios
2/28/23 18:44,6,"Antes incluian una maleta documentada en Light, no me gusto ese cambio y tampoco que tratan de agregar el cobro para refund del vuelo y tenemos que quitarlo manualmente, eso nunca nos ha gustado de su pagina."
2/28/23 18:42,0,No pude pagar con mi tarjeta viva plus
2/28/23 18:39,8,EN LOS VUELOS REDONDOS NO ES NECESARIO DOCUMENTAR EN AMBOS VIAJES LAS MALETAS
2/28/23 18:38,8,sip
2/28/23 18:28,3,Dando los precios con Tua desde el principio
2/28/23 18:17,8,bajar el TUA y no deberian cobrar los asientos
2/28/23 18:13,0,terrible. no sirve cuando pago con mi carta de crédito.
2/28/23 17:57,8,"Me gusta, pero le agregan a uno adicionales que uno nunca eligió y es difícil darse cuenta, parece un poco engañoso"
2/28/23 17:56,0,Muy confuso todas las opcione que venden adicional
2/28/23 17:51,8,"El ""reembolso total"" no debería agregarse automáticamente, más si solo cubre los eventos mencionados. Me gustaría poder adquirirlo si solamente ""ya no quiero viajar"""
2/28/23 17:51,8,Costo excesivo de  seleccion de asientos
2/28/23 17:51,8,MUCHOS AGREGAR
2/28/23 17:46,8,Costos totales desde el inicio de la compra
2/28/23 17:37,0,"La pagina no funciona, no se puede pagar con tarjeta"
2/28/23 17:31,5,ES MUY CONFUSA LA PAGINA
2/28/23 17:30,7,"Está traqueada la tarifa , cada vez agregan mesa cosas. Al principio me hicieron creer que la tarifa era con impuestos, que era total y luego me aumentaron el impuesto de aeropuerto; de 3 mil y feria me salió en el doble."
2/28/23 17:29,8,Servicios dentro del avión.
2/28/23 17:19,5,Se trabó mucho durante el proceso
2/28/23 17:19,7,Omisiones que hace la aerolinea.
2/28/23 17:14,5,Con tantas opciones de adicionales suele hacer tedioso el proceso.
2/28/23 17:11,5,Problemas para pagar la reservación.
2/28/23 17:09,7,impusieron una compra de maleta y no hubo forma de quitarla
2/28/23 17:07,7,confusion con pagos y promocion de pagos a credito
2/28/23 17:07,2,Los costos no son claros y al final te dice que el costo que apareció ya no esta vigente. Esto es muy engañoso
2/28/23 17:06,0,No he podido hacer la compra después de una infinidad de intentos. Llamé a VivaAerobus y me dijeron que era que el banco la estaba declinando. Llamé al banco y ellos me dijeron que no había habido intento de compra. Qué eestá pasando?
2/28/23 17:06,8,todo bien
2/28/23 16:47,8,Tiene temas de UX por resolver.
2/28/23 16:45,5,Una página más amigable y clara con las rutas a seguir y donde se encuentra cada cosa.
2/28/23 16:42,4,"tarda mucho tiempo en cargar, no deja realizar pagos con tarjetas digitales BBVA"
2/28/23 16:41,0,NUNCA
2/28/23 16:36,8,exageran en el TUA he cotizado con otras aerolineas un mismo vuelo y sale mucho mas barato en ocasiones
2/28/23 16:31,8,TODO BIEN
2/28/23 16:19,6,QUITEN TANTAS OPCIONES A COBRAR ES ENGAÑOSO
2/28/23 16:16,8,bien
2/28/23 16:14,8,SON DEMASIADOS PASOS
2/28/23 16:06,4,No declinando tarjetas
2/28/23 16:01,7,Poder cambiar la info del pasajero más fácil  y que la selección de asientos sin cargo extra estuviera más accesible
2/28/23 16:01,7,no quiso agarrar mi tarjeta
2/28/23 15:57,6,precios
2/28/23 15:54,5,Son muchos pasos y se agregan servicios adicionales que incrementan el precio
2/28/23 15:49,0,no es user friendly tu pagina la odio
2/28/23 15:09,7,avisar del tua antes
2/28/23 15:06,8,SIENTO LA PAGINA UN POCO CONFUSA
2/28/23 14:59,2,"van mal, la sesion expira rapido, si vuelves atras pierde datos"
2/28/23 14:43,6,SI
2/28/23 14:40,8,Menos propuestas
2/28/23 14:34,7,la pagina esta muy lenta
2/28/23 13:35,1,SU PAGINA NO FUNCIONO 80% DEL TIEMPO CUANDO QUERIA COMPRARLES UN BOLETO
2/28/23 13:28,8,Intente con 3 tarjetas y no me dejo pagar con ninguna.
2/28/23 13:10,7,no se puede escoger dos combos diferentes cuando se compran varios boletos
2/28/23 11:46,4,"Es un diseño hecho para ser tramposa y encabronante UIOdio Viva aerobus"
2/28/23 11:10,5,Demasiados menús
2/28/23 10:02,6,REDUCCICEINDO LOS COSTOS Y PODER MODIFICAR LOS VUELOS INDIVIDUALMENTE YA QUE MUCHAS OCASIONES ALGUNOS PASAJEROS LLEVAN MENOS EQUIPAJE
2/28/23 9:43,6,"muy confuso, no te dan las opciones del equipaje por persona desde el inicio, sino que hasta que esta avanzado el proceso"
2/28/23 9:10,1,MUY TEDIOSA LA PAGINA PARA COMPRAR VUELOS Y SABER TOTALES
2/28/23 9:09,7,Sintantos rodeos  a la hora de comprar los boletos
2/28/23 8:23,6,"Son demasiados los pasos, si fuera más sencilla la experiencia al cliente, sería una página excepcional."
2/28/23 8:09,3,"Poco dificil navegar, no sive bien en mobile. Tampoco funciona cambiar a dolar a pesos"
2/28/23 8:09,0,NO DEJA PAGAR
2/28/23 6:59,7,la calidad
2/28/23 6:53,7,cada vez sale más caro volar con ustedes
2/28/23 6:52,8,"Deberian de indicar que si no es obligatorio escoger los asientos, parece que no hay de otra pero si hay y es gratis"
2/28/23 6:44,0,"Totalmente ineficiente y malintencionada , falta de claridad en informacion proprcionada iprincipalmente en precios"
2/28/23 6:36,3,Por Que mi amigo compraba el bileto y una problema occurado.  Mi bileta no mas available y yo so triste por que necesito entrado las informacion tambien.
2/28/23 6:24,7,Pague con BBVa tarjeta de credito mayor a $2000 y no me aparecio la opcion de pagar a meses sin intereses
2/28/23 6:11,7,que no tarden tanto las maletas
2/28/23 6:08,6,I WAS ON HOLD WAITING FOR A CSR FOR MORE THAN 50MIN.
2/28/23 5:57,2,"AGREGA EXTRAS QUE YO NO AGREGE, NO SE PUEDE QUITAR ORDEN DE CARRITO"
2/28/23 5:40,5,"Haciéndola mas intuitiva y entendible, es mucho cobro de servicios adicionales escondidos entre las muchas opciones disponibles."
2/28/23 5:36,8,Siendo más claros en la información solicitada.
2/28/23 5:23,8,no poniendo tanta publicidad y opciones porque confunden primero vuelo y despues extras
2/28/23 5:23,8,MÁS RÁPIDA
2/28/23 5:09,8,bien
2/28/23 5:06,8,Son muchos cambio de precios y se cobra por todo
2/28/23 5:02,4,los costos
2/28/23 5:01,7,La cantidad de submenus consecutivos vuelve tediosa la compra rapida de boletos
2/28/23 4:57,8,bien
2/28/23 4:56,5,atencion al cliente
2/28/23 4:55,0,acepten pagos con tarjeta
2/28/23 4:48,4,El precio es engañoso hasta el final te dejan quitar el seguro de protección total
2/28/23 4:38,8,Sin tantas páginas para llegar al checkout
2/28/23 4:29,8,Pongan mejores precios.
2/28/23 4:22,5,ser claros en el precio final
2/28/23 4:21,8,No poner anuncios encima del contenido
2/28/23 4:13,7,"Mucho, tu pagina es muy estresante. Muchos clicks, deberia ser mas rapida realizar una reservación."
2/28/23 4:11,8,Rapidez
2/28/23 4:06,8,Poner mas sencillo las formar de pago y los meses sin intereses
2/28/23 4:05,4,"Siendo mas rapida, con menos pasos a seguir y sin tantas opciones a agregar"
2/28/23 4:05,7,M
2/28/23 4:04,6,"Las preselecciones que usan para cobrar mal son de mal gusto, hacen sentir que quieren aprovecharse del consumidor. Es una práctica que seguró violenta los derechos del consumidor ante la profeco."
2/28/23 3:54,4,EXTREMADAMENTO COMPLICADA! DEBEN SIMPLIFICAR SU PROCESO
2/28/23 3:47,8,...
2/28/23 3:34,8,No jalo mi tarjeta de Banamex
2/28/23 3:32,7,siendo mas concientes con el pasajero... quieren cobrar hasta por respirar...
2/28/23 3:27,7,Demasiadas preguntas
2/28/23 3:21,6,NO ME GUSTA QUE METAN SEGUROS Y OTRAS COSAS AFUERZA SIN QUE TE DES CUENTA
2/28/23 3:14,8,NO TIENEN TODOS LOS DATOS DE COSTOS TIENE UNO QUE IR LLENANDO LA COMPRA DE BOLETOS PARA SABER EL COSTO REAL
2/28/23 3:05,7,ya cobren las cosas juntas. Ir subiendo con precios migajas es frustrante.
2/28/23 2:52,0,mala pagina
2/28/23 2:51,7,NA
2/28/23 2:50,5,Poniendo los precios en los dias para verlos
2/28/23 2:49,7,no agregar seguro por si solo
2/28/23 2:44,0,su web dio sirve intente con 4 tarjetas activas y ninguna tomaron
2/28/23 2:44,7,Muchos pasos y apartados para llegar al final
2/28/23 2:44,7,Dificil cambiar datos de número de personas y pagar
2/28/23 2:43,8,Mejorando sistema de pago
2/28/23 2:33,8,Facturación inmediata cuando se paga
2/28/23 2:25,6,"Mucha informacion que abruma y confunde, el proceso para llegar al pago es muy largo con demasiadas ofertas"
2/28/23 2:15,8,"EL precio de TUA cambió antes de realizar mi pago, es algo que no me gustó."
2/28/23 2:11,2,NO ES AMIGABLE Y PROPORCIONA INFORMACION FALSA
2/28/23 2:05,6,demasiadas preguntas
2/28/23 2:05,7,"la vez pasada me cancelaron el mero diame cambiaron el vueloy me ofrecieron un cupon para el siguiente vuelo que no llegò"
2/28/23 2:02,6,demasiados precios ocultos
2/28/23 1:59,5,MANEJAR UN SOLO PRECIO
2/28/23 1:58,0,NO COBRANDO TODO APARTE Y MEJORAR PRECIOS
2/28/23 1:58,8,antes se podia pagar a meses sin intereses y ahora esa opcion ya no existe
2/28/23 1:56,8,NOT CHANGING THE AMOUNTS TO OFTEN
2/28/23 1:36,4,"Muchos errores, no me dejaba regresar a la pagina anterior y tuve que comenzar de nuevo 5 veces. Demasiado frustrajnte"
2/28/23 1:30,1,No acepta los pagos
2/28/23 1:26,7,el proceso de reservacion y pago en linea y mostrar el precio total al principio
2/28/23 1:14,7,QUITEN EL TUA O COBRAR MENOS TUA
2/28/23 1:07,8,agregar mas opciones de pagos si intereses
2/28/23 1:05,7,"TE AGREGA SERVICIOS QUE YA PREVIAMENTE CANCELASTE, PESIMO QUE TE COBREN POR ELEGIR ASIENTO."
2/28/23 1:00,6,esta muy lenta
2/28/23 0:58,3,"Su diseño para tratar de confundir a la gente con sus extras, no se si su esquema es legal, pero si creo que es moralmente reprobable"
2/28/23 0:57,8,ser mas claros en la informacion
2/28/23 0:53,8,Dar mas tiempo para tomar una decision sobre todo para la gente mayor.
2/28/23 0:49,6,menos anuncios y pops ups
2/28/23 0:47,7,tienen muchas trabas para ver el costo total
2/28/23 0:37,6,trampa que cobran el tua haste el final
2/28/23 0:24,8,Agregando el TUA y bajando el precio de los asientos
2/28/23 0:23,7,no ocultando precios
2/28/23 0:22,8,SER MAS CLAROS EN LOS ERRORES
2/28/23 0:21,5,si se paga un vuelo ya debe incluir el asiento
2/28/23 0:17,6,Son demasiados pasos para lograr comprar y precios confusos
2/28/23 0:15,7,Mas ágil su pagina al momento de reservar
2/28/23 0:15,3,Que tienen glitches al hacer compras
2/28/23 0:13,8,"yo agendo los viajes de mis familiares y todo a sido satisfactorio, hasta ahora"
2/28/23 0:11,7,"Cuando tratas de agregar equipaje documentado en uno solo de los pasajeros, al ser una reservación por 2 o más pasajeros, no está amigable ni claro."
2/28/23 0:10,6,No enganchando con los precios para dejar al final el TUA
2/28/23 0:10,8,Hacerla mas sencilla
2/28/23 0:07,8,"algo pesado varias hojas, podria estar mas practico"
2/28/23 0:03,8,ESPECIFICANDO LAS TARIFAS POR CATEGORIA DE EQUIPAJE
2/27/23 23:57,7,incluyan precio de asiento
2/27/23 23:44,8,Batalle para pagar con tarjeta de credito
2/27/23 23:39,0,PROBLEMAS CON EL PAGO EN LINEA
2/27/23 23:36,7,"batalle para pagar , con la tarjeta que estaba  ya en sistema,   se borraba  automaticamente el CVV  cdo le daba terminar"
2/27/23 23:35,2,NO ME DEJA PAGAR CON LA TARJETA QUIE ES PARA COMPRAR VUELOS
2/27/23 23:32,6,facilitar los procesos por celular
2/27/23 23:30,4,"muchos cambios, no es claro"
2/27/23 23:26,5,"Siempre se batalla para realizar el pago, aún cuando la tarjeta haya sido previamente usada y guardada, rechaza el pago sin motivo aparente y hay que recapturar cada vez"
2/27/23 23:24,8,cobren menos
2/27/23 23:04,7,la pagina vence y tienen que comenzar de 0
2/27/23 23:03,8,MENOS PASOS.. O HACER MAS CORTOS LOS PASOS QUE NO SEA UN PAGINA POR CADA UNO
2/27/23 23:02,5,pesima pagina
2/27/23 22:58,8,"lo de los documentos, tiene que poner varias ves."
2/27/23 22:54,6,TENER AYUDAR DE UNA PERSONA EN LINEA TELEFONICA SIN GRABADORA
2/27/23 22:54,8,no me dejo capturar pasaportes
2/27/23 22:38,0,"sitio web muy trabado, en el checkout me apareció como 30 veces un recuadro que decía ""tu sesión está por expirar"", oprimía en continuar y cada 2 segundos volvía a aparecer"
2/27/23 22:29,7,"lo hacen demasiado enredado y los precios son engañosos,"
2/27/23 22:20,5,MUCHA PUBLICIDAD
2/27/23 22:17,0,"Imposible pagar con tarjetas de crédito. Hay que hablar para realizar el pago y obviamente además de la demora en exceso, las tarifas y asientos escogidos ya no estan disponibles"
2/27/23 22:11,5,Muy confusa por tanto servicio extra
2/27/23 22:11,6,reducir los pasos para llegar al pago
2/27/23 22:08,3,U just fake the price by adding 50% at the last step
2/27/23 22:05,5,PONIENDO LA OPCIÓN DE MESES EN LA PAGINA
2/27/23 22:05,1,Digan los precios reales transparentemente y desde el principio. No agreguen los servicios con costo adicional automáticamente.
2/27/23 22:02,5,Difícil pagar con tarjeta de crédito
2/27/23 22:01,8,NO PONGAN TANTAS OPCIONES DE SERVICIOS
2/27/23 21:52,8,"Personalizar datos finales de (equipaje, niños y mascotas) que se lleguen a seleccionar ya comprado) para no estar descifrando en el apartado que corresponde a lo que yo compre para viajar. Sigan mejorando, la verdad se esta haciendo cada vez mas practica su pagina de ventas y es un gusto preferir volar con ustedes. Espero me contacte alguien de ustedes pues tengo un problema pues compre boleto de adulto y mi mama después quiso viajar con su nieta junto al boleto que ya les mencione pero no se como unirlos en una misma compra si el boleto ya pagado el viva Zero. I celular es 9841541769. Aún así voy a intentar buscar su contacto y exponer mi caso. saludos"
2/27/23 21:52,0,No me deja pagar con mi tarjeta de credito. Pesimo sistema de pagos
2/27/23 21:50,8,xx
2/27/23 21:50,7,"conexion sin interrupciones, se bloqueo al pagar el TUA , se perdieron los asientos y subieron de precio"
2/27/23 21:45,8,demasiados clicks
2/27/23 21:42,0,"Te ponen bajo el costo pero al final te sale igual que la competencia, estonces pesimo"
2/27/23 21:36,8,MAS SENCILLO EL PROCESO SIN OBLIGAR A COMPRAR COSAS DE MAS
2/27/23 21:28,6,Creo que los precios podrían ser más bajos. Pero en general bien.
2/27/23 21:28,5,"Esconden demasiado los cargos no solicitados, por ejemplo el seguro de Reembolso Total. Perdí demasiado tiempo para poder encontrar cómo quitarlo. Es un abuso."
2/27/23 21:22,8,Mas rapidez en la asignacion de los datos
2/27/23 21:22,3,English please
2/27/23 21:18,4,Que los precios base que muestran fueran reales
2/27/23 21:14,7,Hagan que la pagina deje de cambiar los precios que muestra cuando uno le da click
2/27/23 21:13,8,Especificar lo del seguro de vuelo antes
2/27/23 21:11,7,"Los precios subieron mucho, sin embargo siguen siendo los mas baratos"
2/27/23 21:03,4,No me permitio hacer uso de codigo de descuento 33070565520600001
2/27/23 21:00,0,Hice una compra de casi 4000mxn y recibi 0 doters
2/27/23 20:56,7,"Si compras vuelos individuales te sale mas barato que comprarlos juntos, no hace sentido"
2/27/23 20:55,7,Evitar propaganda que puede confundir al viajero y solo beneficia a la línea aérea.
2/27/23 20:45,0,NUNCA
2/27/23 20:38,0,ll
2/27/23 20:27,7,"un poco lento, mucho anuncio,"
2/27/23 20:27,6,No cobrando por cada  cosa.
2/27/23 20:13,7,La página tarda mucho en cargar.
2/27/23 20:12,0,First you change the price when I check out. Then you wont let me pay!!
2/27/23 19:56,8,sin comentarios
2/27/23 19:56,8,gracias
2/27/23 19:51,4,me parece increible que en cuestion de minutos cambiien los precios  muy mal uno no siempre cuenta ocn la mejor conecion a internet
2/27/23 19:50,8,Más claridad en el proceso de la tarifa
2/27/23 19:48,8,MEJORANDO LOS HORARIOS
2/27/23 19:34,0,No pueden aceptar un puto pago con miles de tarjetas
2/27/23 19:33,8,Poner el costo total incluyendo el TUA desde el inicio
2/27/23 19:32,3,Se atora la página a la hora de meter la info de la tarjeta de crédico. Tuve que hacer la reservación desde el inicio dos veces...
2/27/23 19:24,2,"Evitando cargos extras como el de la maleta de 10kg, eso no debe cobrarse, ya que es lo mínimo con lo que uno debe viajar"
2/27/23 19:23,7,mejores precios
2/27/23 19:15,0,QIERES?
2/27/23 19:14,5,"Los viajes demoran demasiado y el tiempo de abordaje es mayor.Habría que agilizar el proceso."
2/27/23 19:11,6,aveces se traba mucho. gracias
2/27/23 19:09,4,"Información engañosa y tendenciosa al buscan en la comprar, cobrar más, por servicios que deben incluir. Encarecen los precios."
2/27/23 19:06,5,muy poco intuitiva
2/27/23 19:03,4,"Mejorando su sistema para poder pagar directo, intente pagar con mi tarjeta no me lo permitio, tuve que usar paypal, lo cual no es un inconveniente sin embargo fue molesto no poderlo hacer directo"
2/27/23 19:02,0,COMPLICADA Y BUSCAN COMO COBRAR MAS
2/27/23 18:59,8,La página se reinició 2 veces sola
2/27/23 18:55,8,que no pongan tantas opciones
