Button name,Rating,,Comment,,,,,,,,,,,,,,,Page Load Time,Form,ID,Comments Added in Feedback Item,Image,feedback_type,¿Qué te gustaría compartir con nosotros?,basket_id,motivo_visita,share_data,error_type,NULL_feedback_type,name,pnr,contact_number,NULL_pnr,¿Sobre qué te gustaría leer en el blog? - What would you like to read?,would_like_to_read,other_topics_comment,experiment,NULL_contact_number,NULL_other_topics_comment,NULL_name
Desktop New Site,1,"No pude factura mediante el portal así que me comuniqué mediante el chat de WhatsApp y solo me dijo el asesor de nombre Roberto que el portal estaba en reparación y que intentara más tarde, inmediatamente se fue de la conversación. muy mal servicio en ambas situaciones, en el portal y el su chat",4/12/23 16:11,,,,,,,,,,,,,,,1s,,64371e5effe2884196667601,,https://u4w-screenshots-production.s3.amazonaws.com/64371e5effe2884196667601/screenshot,error,Errores o problemas en la página,undefined,search_info,no,invoice,,,,,,,,,,,,
Desktop New Site,2,"se agrega el reembolso total y no lo quiero, ya he intentado comprar el vuelo 3 veces y se agrega el reembolso total en adicional....justo cunado le pongo prepagar el tua",4/12/23 15:25,,,,,,,,,,,,,,,1s,,643713831211073a756b3c81,,https://u4w-screenshots-production.s3.amazonaws.com/643713831211073a756b3c81/screenshot,error,Errores o problemas en la página,0187771d-dfd8-4dd0-bbd3-34bf7a6945cf,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,"No me deja facturar la pagina, me dice que esta en mantenimiento, como podria obtener la factura ?",4/12/23 15:21,,,,,,,,,,,,,,,20s,,6437129d55adf51139095556,,https://u4w-screenshots-production.s3.amazonaws.com/6437129d55adf51139095556/screenshot,error,Errores o problemas en la página,undefined,search_info,si,invoice,,,,,,,,,,,,
Doters,3,A see,4/12/23 14:44,,,,,,,,,,,,,,,3s,,64370a0c1bd371787557d813,,,suggestion,,,,,,,,,,,,,,,,,
Desktop New Site,2,Kindly process refund to original form of payment. PNR HFTN7H ,4/12/23 14:44,,,,,,,,,,,,,,,0s,,64370a00e4ec1627274092a3,,https://u4w-screenshots-production.s3.amazonaws.com/64370a00e4ec1627274092a3/screenshot,suggestion,Sugerencias o ideas,undefined,quote_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,Agrega una cantidad que no es parte de mi compra,4/12/23 14:07,,,,,,,,,,,,,,,1s,,6437013b39a9335dbd0fd7b3,,https://u4w-screenshots-production.s3.amazonaws.com/6437013b39a9335dbd0fd7b3/screenshot,error,Errores o problemas en la página,018776d5-b326-4707-b557-0e0f5c24649c,book_flight,no,payment_issues,,,,,,,,,,,,
Desktop New Site,2,Kindly process refund to original form of payment. PNR CYH8HJ ,4/12/23 13:36,,,,,,,,,,,,,,,0s,,6436fa2568b584470035ff8e,,https://u4w-screenshots-production.s3.amazonaws.com/6436fa2568b584470035ff8e/screenshot,suggestion,Sugerencias o ideas,undefined,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,"Pésimo servicio, hacen todo para que los pasajeros pierda su vuelo, no actualizan el estatus de los vuelos de forma correcta ocasionando contratiempos., aunado a esto el personal que da atención se burla de la gente. NEFASTO SERVICIO.................",4/12/23 13:33,,,,,,,,,,,,,,,0s,,6436f97191afb27e1350ce5b,,https://u4w-screenshots-production.s3.amazonaws.com/6436f97191afb27e1350ce5b/screenshot,general,Comentario general,undefined,flight_status,yes,,,,,,,,,,,,,
Doters,1,"aun no se me relejan puntos del 18 de marzo 2023  18/03/2023 SEARS MERIDA PZA MERIDA YUC  440.00  18/03/2023 SEARS MERIDA PZA MERIDA YUC  2,596.00  18/03/2023 SEARS MERIDA PZA MERIDA YUC  7,956.64",4/12/23 13:23,,,,,,,,,,,,,,,3s,,6436f70c34c32c67c27b1d24,,https://u4w-screenshots-production.s3.amazonaws.com/6436f70c34c32c67c27b1d24/full_image,general,,,,,,,,,,,,,,,,,
Desktop New Site,2,No puedo facturar mis viajes.,4/12/23 12:52,,,,,,,,,,,,,,,0s,,6436efb7cc918f620337ca73,,https://u4w-screenshots-production.s3.amazonaws.com/6436efb7cc918f620337ca73/screenshot,error,Errores o problemas en la página,undefined,search_info,si,invoice,,,,,,,,,,,,
Doters,1,"desde que me di de alta no he podido ingresar a mi cuenta, no reconoce mi usuario ni mi contraseña, cuando ya la cambié 3 veces",4/12/23 12:47,,,,,,,,,,,,,,,5s,,6436ee8e3e9f774a671a2435,,https://u4w-screenshots-production.s3.amazonaws.com/6436ee8e3e9f774a671a2435/full_image,error,,,,,,,,,,,,,,,,,
Desktop New Site,4,Porque en el precio final me cobran adicionalmente por reembolso total 274 pesos ??,4/12/23 12:37,,,,,,,,,,,,,,,0s,,6436ec1fe2c928380a0f05c0,,https://u4w-screenshots-production.s3.amazonaws.com/6436ec1fe2c928380a0f05c0/screenshot,error,Errores o problemas en la página,01877682-2568-4001-b57b-5a3281186074,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,2,"En ningún momento durante mi compra hje seleccionado esta opción de reembolso total, incluso en ninguna parte de la pagina me han mencionado que significa esto de reembolso total. NO quiero pagarlo porque no se que es y yo no lo seleccioné",4/12/23 12:13,,,,,,,,,,,,,,,2s,,6436e6b8523b682c0467e7ae,,https://u4w-screenshots-production.s3.amazonaws.com/6436e6b8523b682c0467e7ae/screenshot,general,Comentario general,undefined,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,1,tengo un error en mi apellido como lo corrijo,4/12/23 12:00,,,,,,,,,,,,,,,21s,,6436e3ae2e72ee7f11376cf1,,https://u4w-screenshots-production.s3.amazonaws.com/6436e3ae2e72ee7f11376cf1/screenshot,general,Comentario general,01877665-12f0-4c21-95a6-1456441c81ac,change_booking,yes,,,,,,,,,,,,,
Desktop New Site,1,"de la nada me aparece el adicional de reemboso total aunque yo no lo elija, como puedo eliminarlo ?",4/12/23 11:56,,,,,,,,,,,,,,,2s,,6436e2b433f0ea3f517fdbac,,https://u4w-screenshots-production.s3.amazonaws.com/6436e2b433f0ea3f517fdbac/screenshot,general,Comentario general,0187765a-91e7-4dc8-a4ee-39805ff7ae28,book_flight,no,,,,,,,,,,,,,
Doters,4,"Buen día, tengo la tarjeta HSBC VIVA desde hace pocos meses (DIc 2022) decía que me daban 20000 doters y en mi balance solo tengo 3900, no los he usado.",4/12/23 11:15,,,,,,,,,,,,,,,2s,,6436d91f95096710f90b4232,,https://u4w-screenshots-production.s3.amazonaws.com/6436d91f95096710f90b4232/full_image,error,,,,,,,,,,,,,,,,,
Desktop New Site,5,felicitacion,4/12/23 8:13,,,,,,,,,,,,,,,0s,,6436ae714db4d47a82195048,,https://u4w-screenshots-production.s3.amazonaws.com/6436ae714db4d47a82195048/screenshot,compliment,Felicitación,01877595-3100-432e-8d09-d176b98b1d82,book_flight,yes,,,,,,,,,,,,,
Doters,2,"Lleco 11,000 puntos y los 20,000 extra de regalo  que dicen al contratar siguen  sin aparecer.",4/12/23 8:05,,,,,,,,,,,,,,,2s,,6436ac825c3607603e308d0b,,,general,,,,,,,,,,,,,,,,,
Doters,2,"No he podido usar los puntos en vivaaerobus para nada, no respetan eso en vivaaerobus, y no esta claro como usarlos,expliquenle al personal de la aerolinea , de ida y vuelta pague x la maleta",4/12/23 8:02,,,,,,,,,,,,,,,2s,,6436abe470e071682414ab66,,,general,,,,,,,,,,,,,,,,,
Doters,2,No se visualiza correctamente en los teléfonos mobiles,4/12/23 7:59,,,,,,,,,,,,,,,2s,,6436ab16cf9d7f72e3150bc6,,https://u4w-screenshots-production.s3.amazonaws.com/6436ab16cf9d7f72e3150bc6/full_image,error,,,,,,,,,,,,,,,,,
Doters,1,"Hace un par de semanas hice una compra de un vuelo y jamás me dieron mis puntos!  Tengo hasta viva fan, no vuelvo a comprar vuelos aquí ",4/12/23 6:52,,,,,,,,,,,,,,,1s,,64369b63c0f6232d9b792394,,,general,,,,,,,,,,,,,,,,,
Doters,2,Mas amigable y menos repetitivo ,4/12/23 6:33,,,,,,,,,,,,,,,1s,,643696f2e5c4aa035f7413d8,,,error,,,,,,,,,,,,,,,,,
Feedback_Nuevo Sitio_VF,2,no funciona su opcion de vivafan,4/11/23 23:04,,,,,,,,,,,,,,,4s,,64362dcedf0151144204e962,,https://u4w-screenshots-production.s3.amazonaws.com/64362dcedf0151144204e962/full_image,login,Problemas con el perfil / login,,,yes,,,,,,,,,,,,,
Doters,2,Al abordar el autobús me pidieron dinero por mi equipaje al no darlo súper grosero el chofer y el ayudante empujándome con quien se reporta esto ,4/11/23 22:20,,,,,,,,,,,,,,,10s,,6436236d75194a3d500b8afe,,https://u4w-screenshots-production.s3.amazonaws.com/6436236d75194a3d500b8afe/full_image,general,,,,,,,,,,,,,,,,,
Desktop New Site,1,"No me permite quitar el rembolso total, ratas!!!",4/11/23 22:16,,,,,,,,,,,,,,,0s,,6436226515c2f66df7623fd5,,https://u4w-screenshots-production.s3.amazonaws.com/6436226515c2f66df7623fd5/screenshot,error,Errores o problemas en la página,0187736b-d31b-4b12-a86d-013a99092d83,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,No pudo eliminar este cobro que no deseo.,4/11/23 22:05,,,,,,,,,,,,,,,0s,,64361fc2923b831a057d4b1b,,https://u4w-screenshots-production.s3.amazonaws.com/64361fc2923b831a057d4b1b/screenshot,error,Errores o problemas en la página,01877365-6a07-46b0-98df-04fb750122db,book_flight,no,invoice,,,,,,,,,,,,
Desktop New Site,1,No me manden mas anuncios. Cuando yo necesite sus servicios. Yo los contacto,4/11/23 21:48,,,,,,,,,,,,,,,4s,,64361bd29fdd990b8f429192,,https://u4w-screenshots-production.s3.amazonaws.com/64361bd29fdd990b8f429192/screenshot,general,Comentario general,undefined,search_info,no,,,,,,,,,,,,,
Doters,5,su servicio es muy bueno y me gustaría poder encontrar boletos digitales,4/11/23 21:43,,,,,,,,,,,,,,,4s,,64361abf1f8a523f1d4b5b03,,https://u4w-screenshots-production.s3.amazonaws.com/64361abf1f8a523f1d4b5b03/full_image,compliment,,,,,,,,,,,,,,,,,
Desktop New Site,3,"Hola, tengo un còdigo promocional y por mas que lo ingreso no lo acepta o no se que pasa,.. ya me cansé de buscar como.. me pueden ayudar. ?",4/11/23 20:37,,,,,,,,,,,,,,,0s,,64360b3cb38d2f4cc04c8892,,https://u4w-screenshots-production.s3.amazonaws.com/64360b3cb38d2f4cc04c8892/screenshot,general,Comentario general,01877319-b107-4e69-8709-bbaabd86ad27,book_flight,yes,,,,,,,,,,,,,
Desktop New Site,2,para proceder con el pago no carga la pagina y no puedo adquirir el servicio,4/11/23 20:34,,,,,,,,,,,,,,,0s,,64360a899267374e481d07bc,,https://u4w-screenshots-production.s3.amazonaws.com/64360a899267374e481d07bc/screenshot,error,Errores o problemas en la página,undefined,book_flight,no,booking_issues,,,,,,,,,,,,
Desktop New Site,2,Selecciona la ida pero no el regreso,4/11/23 19:59,,,,,,,,,,,,,,,0s,,64360279230c426dca2d01e5,,https://u4w-screenshots-production.s3.amazonaws.com/64360279230c426dca2d01e5/screenshot,error,Errores o problemas en la página,undefined,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,"Al querer comprar el boleto y prepagar el TUA, en automático me hace el cargo de el servicio adicional REEMBOLSO TOTAL y no deseo adquirirlo, quisiera saber como poder eliminarlo para poder concluir mi compra.",4/11/23 19:54,,,,,,,,,,,,,,,0s,,64360136632f0e313353364f,,https://u4w-screenshots-production.s3.amazonaws.com/64360136632f0e313353364f/screenshot,error,Errores o problemas en la página,018772e1-3705-49c7-909e-ad1847510afd,quote_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,2,WEB Ckin - NO disponible!! una pesadilla viajo ligero para evitar filas y la pagina no está disponible para el ckin!!,4/11/23 19:44,,,,,,,,,,,,,,,0s,,6435fef287c6c3766b3d4719,,https://u4w-screenshots-production.s3.amazonaws.com/6435fef287c6c3766b3d4719/screenshot,error,Errores o problemas en la página,018772e8-cae2-41c9-995b-abcd6bde413e,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,"Es imposible pagar. Es la única web en Mexico donde tengo inconvenientes con cualquier tarjeta que intente. Llevo más de, no se, 20 vuelos con ustedes? Ya des bloqueen mi cuenta y dejenme pagar...  Que tengo que recurrir a Paynet siempre y odio el efectivo.",4/11/23 19:25,,,,,,,,,,,,,,,0s,,6435fa5bbc8dd101650d61de,,https://u4w-screenshots-production.s3.amazonaws.com/6435fa5bbc8dd101650d61de/screenshot,error,Errores o problemas en la página,018772d6-dfd9-498b-9d50-21711203bfc9,book_flight,si,payment_issues,,,,,,,,,,,,
Desktop New Site,1,"Ya pagando con la tarjeta viva HSBC me saca porq cambio de tarifaPESIMO,,,",4/11/23 19:13,,,,,,,,,,,,,,,1s,,6435f79c59b0372705163d66,,https://u4w-screenshots-production.s3.amazonaws.com/6435f79c59b0372705163d66/screenshot,error,Errores o problemas en la página,018772cd-80b4-4262-8c8b-937fea47adf5,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,1,"No me permiten modificar mi número de telefono que ya no tengo y que ya cambie, quiero modificarlo.",4/11/23 18:21,,,,,,,,,,,,,,,1s,,6435eb6edbcc84272f7c0eae,,https://u4w-screenshots-production.s3.amazonaws.com/6435eb6edbcc84272f7c0eae/screenshot,error,Errores o problemas en la página,01877293-5bcb-4091-a822-d0a33aad159a,search_info,si,profile_or_login,,,,,,,,,,,,
Desktop New Site,3,No puedo ingresar una tarjeta para pagar,4/11/23 17:50,,,,,,,,,,,,,,,0s,,6435e41951a4923c20438f0a,,https://u4w-screenshots-production.s3.amazonaws.com/6435e41951a4923c20438f0a/screenshot,error,Errores o problemas en la página,undefined,book_flight,no,payment_issues,,,,,,,,,,,,
Desktop New Site,2,"He intentado renovar mi membresía Viva Fan y me ha sido imposible, ya me comuniqué a servicio al cliente y no tuve ayuda, quiero hacer una reserva de vuelos pero ya aplicando la membresía, pero es imposible.",4/11/23 17:45,,,,,,,,,,,,,,,3s,,6435e2f422d7702a8179fe91,,https://u4w-screenshots-production.s3.amazonaws.com/6435e2f422d7702a8179fe91/screenshot,error,Errores o problemas en la página,undefined,book_flight,si,vivafan,,,,,,,,,,,,
Desktop New Site,1,El vuelo me agrega un reembolsó que yo no estoy solicitando,4/11/23 17:28,,,,,,,,,,,,,,,0s,,6435df0574054a1d3c39dbe4,,https://u4w-screenshots-production.s3.amazonaws.com/6435df0574054a1d3c39dbe4/screenshot,error,Errores o problemas en la página,01877269-44a4-4e41-ac24-dc1174a3b1a5,book_flight,si,booking_issues,,,,,,,,,,,,
Desktop New Site,4,Todo bien,4/11/23 17:01,,,,,,,,,,,,,,,4s,,6435d8c88c0ed3219926d3a2,,https://u4w-screenshots-production.s3.amazonaws.com/6435d8c88c0ed3219926d3a2/screenshot,compliment,Felicitación,01877249-d29d-4aad-a225-32d2d4826052,book_flight,no,,,,,,,,,,,,,
