Date,nps,_C_mo_podemos_mejorar_
2/25/23 9:43,7,Bloqueando el sistema si no tienes seleccionado tu asiento
2/25/23 4:33,8,trabajar mas
2/25/23 3:20,8,cobra equipaje de mas
2/25/23 1:42,0,No funciona bien l apagina
2/25/23 1:11,8,"el proceso de pago cuando se hace el cambio es algo confuso, tuve varios ""errores"" con el sistema y al final que se hizo el cambio no me ha reflejado el cobro, confío en que se completó la compra de forma correcta."
2/25/23 1:03,2,cambiando algunas politicas con su personal porque muchas veces son personas que no tienen sentido comun como cuando compro equipaje extra en el carrie on y no quieren dejar subir mi maleta o cuando c les pide q si c puede documentar afuera en mostradores dicen que no y en sala a fuerza la quieren mandar abajo presten atencion a eso por favor y entrenen mejor a su personal xq hacen ver mal a la aerolinea
2/25/23 0:13,0,"No lo recomiendo porque aunque uno haga pagos previos al check in, no los consideran. Tuve que pagar dos veces los asientos, y en el momento de hacer el check in cuesta casi el doble el asiento. Además, la plataforma es confusa y está diseñada para que uno incluya servicios que tienen costo adicional y que no son necesarios."
2/24/23 23:05,8,Se puede mejorar al no sacarte de la aplicación cuando intentas pagar.
2/24/23 20:03,6,"TUVE QUE DUPLICAR PAGO, POR QUE NO ME DIERON INMEDIATAMENTE EL PAGO TUA GCS"
2/24/23 18:43,4,"Son muchos precios ocultos, parecen muy buenas las opciones, precios muy accesibles,  pero al final de cuentas uno viene pagando más que otras aerolíneas."
2/24/23 18:24,0,NO ME PASA MI TARJETA PARA PAGAR Y ME DESAPARECIO MI RESERVA
2/24/23 15:24,4,"hace dias compre otro vuelo a un amigo y me rechazo el pago dias lo intente mas de 10 veces y rechzaba el pago hasta no se que intento me dejo ghacerlo, y en todos los intentos hacer todo el procedimiento de escoger vuelos correo nombre fecha"
2/24/23 14:43,0,no
2/24/23 10:53,3,x
2/24/23 5:50,5,Muy caro algunas cosas :(
2/24/23 5:38,8,xxx
2/24/23 5:10,0,Siendo especificos en sus politicas y cambiando sus asesores telefonicos
2/24/23 2:07,4,Teniendo mas opciones al momento de agregar equipaje o kilos extras al equipaje
2/24/23 2:00,8,No que los cambios eran gratis
2/24/23 1:55,6,sistema lento
2/24/23 0:54,0,"mejorando su atencion y servicio al cliente, realmente no me gusta su aerolinea"
2/23/23 23:02,0,"tiene error en selección de asiento, para no seleccionar."
2/23/23 22:29,0,El cobro por hacer el cambio de nombre es demasiado alto
2/23/23 22:21,8,no sobrepasarce de recargos
2/23/23 21:44,3,"No me gusta que NUEVAMENTE COBRAN EL ASIENTO, siendo que ya lo había pagado antes."
2/23/23 20:34,8,Hubo un error en la pagina y tuve q llamar para que lo modificaron. Via telefonica lo corrigieron.
2/23/23 19:51,7,Evitando que nos pongan para tratar de comprar cosas que no queremos o no necesitamos
2/23/23 19:48,8,Mejorar la interfaz y seguridad de datos personales
2/23/23 17:48,5,"Muchas trabas para hacer el pago, rechazando mi forma de pago, llamé al banco pensando que era un problema de mi tarjeta y mi tarjeta no tenían ningún bloqueo, fue tema de su página."
2/23/23 15:13,0,"ES UNA ESTAFA SUS CAMBIOS DE VUELO NO SON GRATIS, NO RESPETAN LO QUE PAGUE EN MI PRIMER VUELO"
2/23/23 13:24,8,"NO HACIENDO TANTOS CAMBIOS EN LOS VUELOS, YA QUE EN MI CASO LAS ULTIMAS DOS VECES QUE HE VIAJADO CON USTEDES ME HAN CAMBIADO EL VUELO Y OBVIAMENTE ME ADETAN EN LA PARTE LABORAL"
2/23/23 3:20,4,No sirve su linea telefonica
2/23/23 3:16,5,No acepta todas las tarjetas de debito hsbc
2/23/23 1:19,1,TENIENDO TODO EN UN TOTAL
2/23/23 0:41,6,la app muy lenta
2/23/23 0:24,5,especificar que los cambios de vuelo generan un costo por los asientos y la promocion de la tarjeta viva no aplica.
2/22/23 23:34,7,DEMASIADOS OFRECIMIENTOS EN EL CAMINO DE RESERVAR
2/22/23 22:23,0,COMO ES POSIBLE COBRAR ASIENTOS
2/22/23 22:21,0,A FUERZAS TE HACE COMPRAR ASIENTO
2/22/23 22:20,5,"MUY DIFICIL Y NO DAN INSTRUCCIONES CORRECTAS, NO ME DEJA COMPLETAR EL PAGO"
2/22/23 21:22,8,Tener menos casillas de ofertas.
2/22/23 21:04,7,Porque dividen el pago?? muy mal de su parte
2/22/23 20:36,8,SE TRABA MUCHO LA PAGINA
2/22/23 20:07,8,UN POQUITO MAS AMIGABLE LA PAGINA PARA HACER CAMBIOS PORQUE SOLO SE PUEDE HACER EN LA PC Y NO POR EL AL DEL CELULAR
2/22/23 19:42,1,Si Ofrecen CAMBIOS SIN COSTO (misma tarifa) porque cobran adicionales si contraté y pague por el servicio de hasta 3 cambios SIN COSTO
2/22/23 18:40,5,Muy altos los precios para cambiar un vuelo con 2 meses de anticipación
2/22/23 18:37,0,NUNCA
2/22/23 18:21,7,mayor flexibilidad en los itinerarios.
2/22/23 17:34,8,SER MAS SIMPLE PARA ENCONTRAR LO QUE SE NECESITA
2/22/23 15:52,8,"Me hicieron pagar equipaje documentado que no necesitaba, no pude retirarlo cuando cambié mi reserva."
2/22/23 14:53,1,"Demasiados cargos engañosos sobre el TUA y la selección de asientos. DE cualquier forma no creo que les interese mejorar, esto es con fines de cobrar más. Deberían conocer los conceptos de valor y lealtad"
2/22/23 14:32,7,el precio es alto por hacer cambio
2/22/23 5:16,7,mas apoyo via telefonica
2/22/23 5:09,5,FACILITAR CAMBIOSEN CONTRATIEMPOS POR EL CLIENTE
2/22/23 4:55,5,COMPRÉ UNA TARIFA PERO ME EQUIVOQUÉ DE DÍA Y TUVE QUE PAGAR EXTRA POR EQUIPAJE AL CAMBIAR HACIA EL DÍA CORRECTO.
2/22/23 4:14,0,ES UN ROBO SU SERVICIO
2/22/23 1:27,4,","
2/21/23 23:26,6,"El pago en ocasiones no lo acepta, se tiene que cambiar datos de la reserva (Teléfono y correo) Y a veces se tienen que hacer más de 3 intentos y se bloquean las tarjetas, si pudieran arreglar esto sería perfecto el servicio. Saludos"
2/21/23 22:33,8,Posibilidades de cancelar el viaje
2/21/23 22:28,8,gracias
2/21/23 18:39,6,no hacer que forzosamente uno deba pagar un asiento que no quiere.
2/21/23 18:14,2,sus cargos y mentiras de 1 cambio gratis.
2/21/23 18:13,8,no cambiando el horario de los vuelos
2/21/23 17:38,1,El precio para una arreglo sencillo del nombre de pasajero con tiempo de anticipación
2/21/23 17:11,2,"no hubo forma de NO pagar los asientos... después de un costoso cambio, no hay manera de NO comprar ADEMAS asientos. Ni en la App ni en la web ni por teléfono. Siento que es  abusivo enjaretar A FUERZAS asientos cuando a uno le da igual donde lo sienten"
2/21/23 16:58,3,"Deben avisarnos que si ya se hizo check-in, este se debe cancelar antes de proceder a hacer algún cambio, y nos deben permitir eliminar el check-in nosotros mismos, de lo contrario es absurdo este proceso de administrar la reservación."
2/21/23 16:33,8,precios muy caros
2/21/23 16:24,0,"No me dejó eliminar productos de mi carrito de compra y era imposible hacer check-in, al final los tuve que pagar, qué abuso."
2/21/23 15:32,7,"EN LA RESERVA CUANDO SE REFRESCA LA PAGINA SE PIERDE Y NO ES POSIBLE VOLVER A LA RESERVA QUE LLEVABAS, ENTONCES HAY QUE EMPEZAR UNA NUEVA Y ES TEDIOSO."
2/21/23 8:52,6,"cuando intenté usarlo en la aplicación del celular no pude, intente hacerlo en el navegador de mi celular y tampoco pude, hoy en día no cuento con computadora en mi domicilio puesto que no la necesito, tuve que ir a un lugar para pagar el uso de una pc y poder realizar el cambio pudiendo haberlo hecho desde mi celular"
2/21/23 4:50,8,SIGUIENDO COMO HASTA HORA CON ESA EFECTIVIDAD Y RAPIDES
2/21/23 4:46,7,1
2/21/23 4:00,7,Mejor atencion al cliente
2/21/23 3:14,8,Demasiado el cobro por cambio de vuelo
2/21/23 3:01,8,menos pasos
2/21/23 2:45,8,no esta claro cuando queda hecho o no el chek in
2/21/23 1:31,0,Me cobraron asiento porque su pagina no ome dehjaba continuar sin seleccionar uno
2/21/23 1:31,8,Fue confuso el cambio y los cargos no son claros
2/21/23 1:15,8,poder hacer el cambio de ruta desde la web.
2/21/23 0:20,1,La forma de Pagos son muy confusas
2/20/23 23:00,5,MEJORAR LOS COSTOS DE CAMBIO
2/20/23 21:53,7,no deben cobrar para poder hacer el check inn
2/20/23 21:50,2,"Your seating arrangement prior to seat selection assigned by 2.5 year old daughter 4 row away from me(the parent) I had to now pay for both of us $14 pesos each to rearrange for us to sit together. Since I bought the two passengers together in one transaction, your system should have placed our seating together."
2/20/23 21:32,5,RESPONDER RAPIDAMENTE Y RESOLVER LOS PROBLEMAS COMO EL MALTRATO DE MALETAS Y NO INCREMENTAR PRECIOS CUANDO DAN CREDITOS ELECTRÓNICOS QUE NO APLICAN EN LA PÁGINA WEB Y SOLO EN EL CALL CENTER.
2/20/23 21:30,6,DEJANDO CAMBIAR EL DESTINO Y NOMBRE
2/20/23 20:25,0,Las politicas que colocan al momento de comprar el vuelo original indican que el cambio de vuelo es sin costo y la hora de ralizar el cambio no solo te cobran el cambio por la tarifa sino que oblignan a comprar un asiento.
2/20/23 19:48,7,"Se requiere un sistema mas amigable y entendible, es muy confuso, y tambien notificar que al hacernos cambio de vuelo avisar que nos dejaron sin asientos, si no me meto a ver la reservacion no de daria cuenta de eso. Y peor aun el cambio de  precio que me obligo a pagar un extra de un servicio ya pactado."
2/20/23 19:47,8,LOS PRECIOS Y SERVICIOS DE VENTA DE ALIMENTOS DENTRO DEL AVION  NO TODOS TENEMOS TARJETAS
2/20/23 19:02,4,Dar opciones de cambio de vuelo y de destino en linea y no solo por telefono
2/20/23 18:53,5,Más pagos todavia que la canción
2/20/23 18:01,6,2
2/20/23 17:55,0,todo
2/20/23 17:51,6,NO ME DIÓ LA OPCION DE PAGAR LOS ASIENTOS DESDE QUE HICE LA COMPRA DEL PAQUETE CON HOTEL Y LAS MALETAS ESTABAN SELECCIONADAS Y AHORA ME SALIERON MAS CARAS
2/20/23 17:08,0,"muy complicada, mucha propaganda, la HIM muy mala, errores en la pagina constantes."
2/20/23 16:24,0,No cobrando seguros que luego no sirven de nada
2/20/23 15:21,8,ASISTENTE VIRTUAL
2/20/23 9:14,0,"TUVE UN ACCIDENTE Y LLEGUE TARDE A MI VUELO, ME NEGARON TODO TIPO DE AYUDA A PESAR DE HABER COMPRADO 2 VUELOS DE REGRESO PORQUE EL PRIMERO NO PERMITIA CAMBIOS. PESIMO SERVICIO AL CLIENTE."
2/20/23 6:49,8,Respetando la seleccion de maletas previamente.
2/20/23 6:09,5,OFRECEN HACER CAMBIOS Y LOS QUEREMOS HACER Y COMOQUIERA SALEN CON MUCHOS CARGOS EXTRA
2/20/23 4:41,7,rapidez para que se vean reflejados los movimientos y cambios en las reservaciones
2/19/23 18:51,8,PODER HAVER EL CAMBIO DE VUELO DIRECTO EN LA APP SMALL DEVICE
2/19/23 15:46,5,Changed from English to Spanish when paying.
2/19/23 6:03,0,"COMO ES POSIBLE QUE POR CAMBIAR DE NOMBRE ME VAN A COBRAR 1000 PESOS, HORRIBLE, JAMAS VOLVERE A RECOMENDAR ESTA AEROLINEA"
2/19/23 3:56,6,atencion a cliente
2/19/23 3:55,0,"Es altísima la tarifa por cambio de cualquiera de los datos de pasajero, un robo"
2/19/23 2:07,0,"Ya habia pagado por una mascota que ya no voy a llevar y no dan la opción de recuperar ese dinero, ni siquiera como voucher. Me parece muy mal."
2/19/23 0:33,8,HACERLO MAS AGIL
2/18/23 23:40,0,Estaba por pagar mi reserva y de la nada se actualizo el precio a mas del doble !!!!
2/18/23 22:42,0,"TRANSPARENCIA EN LO QUE COBRAN, SI COMPRO UN BOLETO DE UN TRANSPORTE AEREO LO MENOS QUE ESPERO ES QUE INCLUYA ASIENTO, PUES NO ME VAN A LLEVAR PARADO EN EL AVIÓN.  CUMPLAN LO QUE DICEN."
2/18/23 5:47,1,no poniendo las cosas de forma que revuelvan a los usuarios
2/18/23 4:37,2,"Your pricing of baggage is excessive and predatory, with increasing penalty for simple baggage that other airlines allow with no extra charge"
2/18/23 3:26,4,tuve problemas para poder pagar el tua y cuando hable a servicio al cliente no pudieron apoyarme ni solucionar el problema
2/18/23 0:03,1,Batalle demasiado para hacer mis reservaciones
2/17/23 22:57,8,It would help to have this page in English. Thank you
2/17/23 21:17,8,"NO OBLIGAR A LA SELECCIÓN DE ASIENTOS, YA QUE SI SE DESEA NO SELECCIONAR ASIENTO NO PUEDES TERMINAR EL PROCESO DE CAMBIO"
2/17/23 20:07,7,"Cuando haces el cambio de vuelo te hace elegir forzosamente el asiento, si n. la página da error"
2/17/23 19:59,8,lkl
2/17/23 17:45,8,Rápido y claro
2/17/23 17:19,0,"la app no me dejo dejar los asientos sin seleccionar, se me cargo maleta a pesar de que tampoco lo elegi"
2/17/23 16:08,0,"LA ELECCION DE ASIENTO MUY MALA, TUVE QUE PAGAR CUANDO MI ELECCION FUE LA MAXIMA CATEGORIA CON OPCION DE SELECCION DE ASIENTOS."
2/17/23 5:28,6,practicidad de la palicacion
2/17/23 4:18,0,coma cola
2/17/23 1:01,8,No aumentando los precios
2/17/23 0:13,0,"Agregan servicios que no deseo como el abordaje prioritario que no pedí y no logro descubrir como quitarlo.Además vuelven a cobrar casi el vuelo completo al momento de cambiarlo, aún cuando en el primer vuelo pagué por cambios futuros.Prefiero Volaris que si considera esto que menciono."
2/16/23 23:42,0,"Para lograr modificaciones en mi reserva, su sitio web me forzó a agregar un cargo extra por selección de asiento. De no elegirlo, no me permitiría hacer el cambio.El mensaje de error decía:""¡Oh, no!Lo sentimos, algo salió mal. Por favor, intenta nuevamente o realiza tu check-in directamente en el aeropuerto.01865bd7-5cf7-4100-8275-2fa90579f015""Necesitaré hacer otro cambio en días posteriores y temo encontrarme con el mismo error."
2/16/23 23:17,1,"no cobren otros asientos, cuando ya pague unos de mi vuelo original"
2/16/23 23:03,7,REDUCIR COSTOS E IMPUESTOS
2/16/23 21:54,6,"no separar los impuestos del costo del vuelo, es súper confuso y problemático"
2/16/23 21:54,6,me cobraron un asiento feo en $300 mxn. pésimo
2/16/23 21:53,8,"Puede ser algo complicado o confuso algunas secciones, quizá solo es falta de costumbre, pero es un hecho que puede ser difícil para algunos"
2/16/23 20:07,1,there' was no difference in flights when changing it but at the end I had to pey 43 usd.
2/16/23 19:29,8,todo bien
2/16/23 18:50,7,Cambian abrutamente los asientos
2/16/23 17:38,0,Me hicieron el cargo la primera vez y no se modificó la reserva y por teléfono me dijeron que lo viera con mi banco.
2/16/23 17:14,8,Quitar distractores
2/16/23 14:48,0,"no se puede hacer pago ni cambios sin tener que estar hablando a numero de servicio al cliente, que difícil se vuelve un cambio tan sencillo o realizar un pago de un cambio, debería ser al momento no tener que hablar y hablar y esperar y esperar"
2/16/23 14:46,7,PORQUE PAGUE UN SEGURO Y RESULTA QUE NO APLICA PARA CAMBIAR UN NOMNBRE Y VULEVEN A COBRAR
2/16/23 13:40,0,no pude cambiar mi vuelo sin tener que pagar el asiento!!!!!!!!!!!!!!!!!!!!!!!!!!
2/16/23 4:53,6,demasiados cargos extras el precio que muestran al inicir la sesion son una mentira
2/16/23 3:34,4,mas sencillo
2/16/23 3:25,0,dejar de obligar a la selección de asientos. porque es un cobro forzoso el que hacen
2/16/23 1:56,8,Tal vez reduciendo muchas opciones.
2/16/23 1:45,0,no cobraando extra
2/16/23 1:33,5,"MAYOR TRANSPARENCIA EN EL COSTO DE UN CAMBIO DE VUELO. ME APARECIO 100 Y AL FINAL AUMENTÓ EL IMPORTE SIN SELECCIONAR NADA EXTRA. TAMBIÉN QUE SE PUEDAN USAR LOS PUNTOS DOTTERS, DE NADA SIRVEN SI NO SE PUEDEN UTILIZAR EN UNA SIMPLE OPERACION DE CAMBIO DE VUELO."
2/16/23 1:08,1,Precios muy altos para lo que es
2/16/23 1:07,8,mas claridad en las opciones
2/16/23 0:11,0,Teniendo precios justos y razonables para un simple cambio de apellido.
2/15/23 23:49,0,Hagan desde un principio pagar el  TUA para saber el verdadero costo total.
2/15/23 23:29,2,El sistema no sirve para nada. Es muy lento y no es claro. Muy confuso
2/15/23 23:07,8,es demaciado confuso
2/15/23 22:33,8,"El cambio de vuelo es como si comprara literalmente otro vuelo, la diferencia de precio es de menos de 500 entre un vuelo normal y un cambio"
2/15/23 21:50,8,HACERLO UN POCO MAS AMIGABLE YA QUE ME PERDI AL MOMENTO DE ASIGNAR ASIENTOS DEL VUELO DE REGRESO.  GRACIAS
2/15/23 20:55,8,mas rapidez
2/15/23 20:06,8,lo hacen bien
2/15/23 18:55,0,"quitando los bloqueos para que no se cobre lo que no se debe, es injusto y tramposo"
2/15/23 18:35,5,sus paginas
2/15/23 17:50,4,"Mi vuelo original lo compre con tarjeta HSBC Viva Plus lo cual me asigno asientos y maleta documentada gratuita, al tratar de remover los asientos me marcaba error tuve que pagar asientos y maleta documentada cuando yo no necesitava documentar, hable po rtelefono y querian cobrarme 7 mil pesos por el cambio"
2/15/23 17:37,8,"no me quedo claro lo de los asientos, y porque el costo"
2/15/23 16:40,2,PODER EN EL SISTEMA SABRE ASIGNAR LOS ASIENTOS
2/15/23 16:36,8,MENOS CARGOS POR CAMBIOS
2/15/23 16:00,0,hacen el pago del tua por separado cuando deben agregarlo al momento que paga uno
2/15/23 15:50,0,"Es una calamidad que cobren casi hasta por respirar dentro del avion.Sabiendo que son la unica opcion, se crean ""necesidades"" para cobrar."
2/15/23 15:02,5,"tuve que entrar 3 veces el codigo de seguridad de la tarjeta para que funcciona. Las 2 primeras veces salia un error indiicando que no lo habia puesto aunque si.Tambien, me rechazo 2 veces de la misma manera mi tarjeta amex"
2/15/23 4:47,4,la pagina se traba mucho
2/15/23 3:26,0,Precios cambian sin razon
2/15/23 2:08,2,"ESTE SISTEMA TIENE ERRORES PARA OBLIGARTE A ESCOGER ASIENTO Y QUE PAGUES MAS, ES IMPOSIBLE NO ESCOGER ASIENTE, ESTO ES FRAUDE Y ABUSO. VIVA AEROBUS ES DE LO PEOR."
2/15/23 2:07,4,Ya habái seleccionado mis asintos y después salio que no y tuve que volver a comprar para seleccionarlos
2/15/23 1:58,8,NO COBRANDO ASIENTOS
2/15/23 1:35,1,primero dan un precio y despues otro al principio me estaban cobrando aprox 1200 por persona y ahora son casi 2500
2/14/23 22:07,0,Luggage is always an issue in Mexico City. More luggage should be allowed per person
2/14/23 21:57,0,"Me cobraron más caro cambiar el nombre del pasajero solo por corregir un apellido, que lo que me costó el vuelo, osea 1050 pesos solo por escribir un apellido, pésimo servicio al cliente, haré un reporte a la profeco por esta clase de abusos."
2/14/23 21:39,7,no cobrar tanto em los cambio gracias
2/14/23 21:33,6,Me obligaron a elegir un asiento con cargo extra
2/14/23 20:26,8,"muy bien para cambio de fecha, el comentario es que al intentar cambio de destino, hacen un cobro por uso de call center (casi 1000 pesos por pasajero, obligado porque no puede hacerse desde la página), ahí me parece que la promoción de cambios gratis no se cumple"
2/14/23 20:19,5,No cobrando asientos
2/14/23 17:33,5,No está aceptando TC
2/14/23 16:31,8,NO ME DEJAN CONTINUAR CON EL CAMBIO SIN AGREGAR ALGÚN SERVICIO
2/14/23 15:00,8,Me gustaría poder agregar desde aqui la asistencia y no es posible agregar o editar
2/14/23 4:07,0,CAMBIAR UNA LETRA EN EL NOMBRE DE UN PASAJERO ME COSTO 1050 PESOS
2/14/23 4:00,8,Lenta y engañosa la pagina
2/14/23 3:52,7,PRECIOS MAS accesibles
2/14/23 3:26,6,"Tiene varios errores al querer actualizar el precio, tengo que cerrar y volver a entrar para solucionarlo"
2/14/23 3:13,5,Pues no siempre son eficientes en su trabajo
2/14/23 2:58,0,Te obligan a comprar asiento para seguir el proceso de cambio en linea.
2/14/23 2:37,8,....
2/14/23 2:10,1,"LA PAGINA M,ARCA ERROR Y ME OBLIGA A PAGAR EL ASIENTO"
2/14/23 1:45,2,Completa la reserva. En cada paso del camino recibo mensajes de que hay problemas y no puedes completar mi solicitud. ¿Cuál es el problema?
2/14/23 1:11,5,que se agregue el TUA desde el inicio del pago de la reservacion
2/14/23 0:50,7,The first person I contacted was not helpful and was rude. The 2nd person I contact was a lot friendlier and was able to help resolve my concerns.
2/14/23 0:39,0,"Me volvieron a cobrar por asientos que ya habia reservado, pagado, hecho el check in y todavia quieren que se les recomiende. No vale madre su servicio. Ni siquiera avisaron. SON UNA BASURA"
2/13/23 23:41,5,"No me gusta que para todo quieren cobrar hasta para comprar el asiento se supone que una esta pagando el boleto, el asiento tiene que estar incluido ahi."
2/13/23 20:45,0,no me dejaron cambiar mi vuelo sin comprar asiento
2/13/23 19:07,0,"NO COMPRANDO 2 VECES EL ASIENTO, HABLE CON SU PERSONAL Y ME DIJIERON QUE ERA OBLIGATORIO PAGAR DE NUEVO EL ASIENTO."
2/13/23 18:27,1,NO OBLIGANDO A LOS PASAJEROS A PAGAR POR LOS ASIENTOS
2/13/23 17:29,6,no se visualizan en la reserva las maletas compradas.
2/13/23 16:51,0,Es un processo pesimo. Tiene que arglar como tratan los clientes.
2/13/23 14:13,0,Pesimo servicio de atención al cliente
2/13/23 13:54,0,PESIMO SERVICIO Y NO RESPETAN SUS TERMINOS Y CONDICIONES
2/13/23 3:48,8,atencion al cliente por telefono mas responsable.
2/13/23 3:10,0,NO SIRVE SU SISTEMA
2/12/23 19:44,5,PORQUE  COBRAN ALGO QUE DEBE PAGAR LA AEREOLINEA?
2/12/23 17:31,8,Agilizando los trámites
2/12/23 17:24,7,"ya que ya se pagó el vuelo, estaría bien que las tarifas de cambio de itinerario fueran más accesibles económicamente"
2/12/23 7:00,0,No pude continuar con mi compra sin elegir asiento
2/12/23 4:52,8,QUE LA PAGINA NOS PERMITA INTERACTUAR MAS DE MODO QUE PODAMOS CAMBIAR DESTINOS Y PASAJEROS
2/12/23 2:30,8,"Los precios, las tarifas parecen más elevadas al realizar los cambios que  comprando uno nuevo"
2/12/23 1:18,0,se me hace una estupides que por cambiar el nombre de un boleto cobren qur jalada
2/11/23 23:13,7,"EL cambio de itinerario sale carísimo, de nada sirve pagar la flexibilidad porque los precios están super inflados"
2/11/23 22:06,8,el servicio de cambio de vuelo en línea no debería tener costo
2/11/23 19:33,0,siemprr cobran mas de lo que dicen
2/11/23 18:51,7,cargos por cambio
2/11/23 18:27,8,Es sencillo
2/11/23 18:05,2,"¿como es posible que te cobren por seleccionar el asiento?es un robo!"
2/11/23 17:14,5,"No pongan sorpresas, ni cargos por servicios que no solicita el cliente"
2/11/23 17:03,8,exelente
2/11/23 15:46,5,En las tarifas de cambio
2/11/23 6:11,0,son unos mentirosos y unos tramposos
