,Date,nps,Comment
28,3/1/23 3:30,7,"Que aparezca el calendario con los precios, desde un inicio. Poder declinar los Adicionales."
29,3/1/23 3:30,7,"La página se vuelve un poco confusa, en caso de que alguna persona mayor quisiera utilizarla sería complicado para ella"
30,3/1/23 3:28,8,buena
31,3/1/23 3:26,7,"Me molesta en gran manera que traten de venderme absolutamente todo!!...desde el cobro de equipaje, selección de asientos, seguro de reserva...TODO!!! Es realmente molesto!!"
32,3/1/23 3:14,5,muy tardado
33,3/1/23 3:10,7,No cobrar todo por aparte
34,3/1/23 3:05,5,hice reservaciones para 2 personas y solo necesitaba en un pasajero una maleta de 15 kilos. Pero el sistema no me dejaba agregar 1 maleta para un solo pasajero. Me la agrego para los dos pasajeros.
35,3/1/23 3:04,5,"Al ser rechazada mi forma de pago, me vi forzada a buscar el mismo vuelo desde una página incógnito, en la cual le subieron $75 mxn al costo del vuelo. Pésimo eso."
36,3/1/23 2:53,7,"Intente pagar 4 reservaciones, al momento de pagar no me permitia realizar el pago, marcaba un error en los montos, ""los montos no coinciden""."
37,3/1/23 2:51,8,"Los precios aparentemente son muy económicos, pero al finalziar la reserva suben mucho."
38,3/1/23 2:50,8,Me perdió la selección de vuelos cuando cree la nueva cuenta
40,3/1/23 2:41,5,vuelos multidestino
41,3/1/23 2:37,8,las tarifas son engañosas ya que hay muchos servicios innecesarios
42,3/1/23 2:37,0,"NO PUDE REALIZAR EL PAGO DE MIS TIQUETES, PONIA EL CODIGO DE TRES DIGITOS DE MI TARJETA Y LO BORRABA."
43,3/1/23 2:36,7,en poner el verdadero precio en la selección de asientos; no que +$22 se convierte en +$230 cuando lo seleccionas.
44,3/1/23 2:31,7,Tratan de inserterte muchos gastos extras
45,3/1/23 2:24,8,Podría ser menos complicado la reservación
46,3/1/23 2:23,7,No pude pagar en la aplicacion
47,3/1/23 2:20,4,Dejen de ofrecer servicios insolicitados
48,3/1/23 2:19,5,"hay cosas que no son tan visibles, omitir pasos que no son tan necesarios"
49,3/1/23 2:14,4,hidden fee
50,3/1/23 2:12,5,SIN HACER CARGOS ADICIONALES QUE YO NO ESCOGI.....COMO EL DEL REEMBOLS
51,3/1/23 2:06,8,servicio al abordaje
52,3/1/23 2:06,7,Esperé demasiado a cargar la página y tuve que cambiar método de pago
53,3/1/23 1:54,7,SI
54,3/1/23 1:54,8,No agreguen Total reembolso automaticamente.  Dejenme seleccionarlo como todo lo demás.
55,3/1/23 1:51,8,La pagina y aplicacion por telefono no me dejaban pagar
56,3/1/23 1:42,5,demoran sus vuelos mucho de resto todo bien
57,3/1/23 1:39,8,no respeta coompras anteriores y va subiendo de precio cada consulta
58,3/1/23 1:30,8,HACER UNA PAGUINA CON MENOS OPCIONES
59,3/1/23 1:28,7,NO SE
60,3/1/23 1:27,7,Incrementar opciones en cada area
61,3/1/23 1:22,7,la claridad de la info de pago
62,3/1/23 1:20,7,dar mejor atención a clientes frecuentes ya que la atención no es la mejor para los vuelos
63,3/1/23 1:08,7,"Quitar tantos botones de pagos adicionales y no confundir al cliente.¨Favor de indicar que cuando es Tarifa Zero el checkin es al mismo dia, casi una hora antes de abordar."
64,3/1/23 1:05,8,...
65,3/1/23 1:04,7,ME SACO CUANDO YA ESTABA A PUNTO DE PAGAR
66,3/1/23 0:59,5,Esta es la  segunda vez que que tengo que recurrir a pagar en el Oxxo por que no acepta mi tarjeta de debito.
67,3/1/23 0:55,0,una pesima experiencia.
68,3/1/23 0:51,8,"Si,  haciendo paquetes de vuelo, que incluya lo esencial"
69,3/1/23 0:45,7,hacerla mas amigable
70,3/1/23 0:42,4,NO SUBIENDO PRCIOS DE MOMENTO
71,3/1/23 0:28,2,el formato no es logico y ademas te orilla a que compres mas productos
72,3/1/23 0:26,5,NO DA PRECIO FINAL CAMBIA A CADA RATO
73,3/1/23 0:22,0,No me dejo realizar el pago
74,3/1/23 0:13,0,solo me dejaban pagar si ponia el seguro del vuelo
75,3/1/23 0:06,8,PIDEN MUCHOS PASOS Y SE VA INCREMENTANDO EL PRECIO MUCHO EN COMPARACION CON LO QUE OFRECEN DE UN INICIO
76,3/1/23 0:06,3,NO COBRANDO CONCEPTOS ABSURDOS. TODO QUIEREN COBRAR HSDPTM
77,3/1/23 0:04,0,Way to much extra charges and try to get me to buy more.
78,3/1/23 0:02,8,"MENOS OPCIONES, MÁS RAPIDO SABER EL TOTAL A PAGAR"
79,2/28/23 23:56,8,DAR INFORMACION MAS CLARA
80,2/28/23 23:52,6,"Marca error con tarjetas de crédito, arroja que los datos son incorrectos"
81,2/28/23 23:50,7,"De repente me molesto no saber el cargo del rembolso que me incluyeron, hasta que vi el porque. Me hubiera gustado que me avisaran antes de cargarlo."
82,2/28/23 23:34,5,NO AUMENTANDO PRECIOS
83,2/28/23 23:34,6,LOS COSTOS SON TOTALMENTE DISTINTOS
84,2/28/23 23:29,7,SIMPLIFICAR LA CANTIDAD DE INFORMACION E IMAGENES
85,2/28/23 23:14,8,MEJORAR LA REVISOON DE ASIENTOS DISPONIBLES ANTES DE LA RESERVA
86,2/28/23 23:12,0,falla en el pago de tarjeta de credito para promocion a meses sin intereses
87,2/28/23 23:05,8,Haciendo más claro el proceso de reservación
88,2/28/23 22:59,8,me mandan encuesta antes de terminar
89,2/28/23 22:59,3,ES UN PROBLEMA PARA REALIZAR LOS PAGOS
90,2/28/23 22:59,7,NO PONER SERVICIOS COMO EL TRANSFER AUTOMATICO
91,2/28/23 22:58,0,pagina engañosa
92,2/28/23 22:47,5,respetando los precios dichos al iniciar la compra
93,2/28/23 22:41,8,"ser más específicos en los costos adicionales, todo lo demás excelente."
94,2/28/23 22:41,8,promociones MSI
95,2/28/23 22:40,7,En la tarifa que cotizan deberían mostré con el TU A incluido.
96,2/28/23 22:38,8,"Son muchas preguntas, deberian de hacerlas todas en una sola ventana"
97,2/28/23 22:28,3,LOS ASIENTOS NO DEBERÍAN DE TENER TODOS UN COSTO EXTRA
98,2/28/23 22:27,5,TRAMPOSOS.
99,2/28/23 22:27,4,NO ME DEJA REALIZAR MI PAGO EN LÍNEA Y CREO QUE NO DEBIERON HABER QUITADO LOS PAGOS DIFERIDOS CON OTRAS TARJETAS DE CRÉDITO
100,2/28/23 22:20,5,Sin tantos cobros escondidos como son asiento y pista de aterrizaje
101,2/28/23 22:00,7,A veces se trababa la página
102,2/28/23 22:00,7,son demasiadas preguntas y decisiones
103,2/28/23 21:57,7,"MENOS TRAMITES, MÁS RAPIDEZ"
104,2/28/23 21:54,0,no hacer todo tan dificil y tratando de cobrar qualquier cosa
105,2/28/23 21:54,8,LA APP UN POCO COMPLICADA
106,2/28/23 21:50,7,No tienen descuento de adulto mayor
109,2/28/23 21:36,4,HACERLA MAS AMIGABLE
111,2/28/23 21:12,8,queremos um acesso a cia que es top! jander@triponline.tur.br
112,2/28/23 21:05,4,se trabo a la hora de registrar los datos de mi tarjeta y el precio incremento demasiado de un dia a otro
113,2/28/23 21:04,3,"INCLUIR MENOS COSTOS, COBRAN ASIENTOS"
114,2/28/23 20:50,0,muy mal servicio para forma de pagos
115,2/28/23 20:43,7,Más claridad en el proceso de compra
116,2/28/23 20:39,8,precios
117,2/28/23 20:39,5,"resolviendo el problema que tienen para iniciar sesion en usuario, yo ya tengo uno creado con mi correo pero fue imposible acceder, intente durante semanas y siempre da el mismo puto error, les mande un correo a su soport y no contestan, basicamente no les interesa. Si su sistema de puntos funciona por favor agreguen este vuelo a mi cuenta! gracias!"
118,2/28/23 20:35,8,Muchos precios agregados
119,2/28/23 20:35,6,No añadir costos si el cliente no los seleccionó
120,2/28/23 20:33,8,EL SISTEMA NO ES AMIGABLE CON LA DEFINICIÓN DE LAS FECHAS
121,2/28/23 20:33,3,esta muy complicada la pagina
122,2/28/23 20:32,0,no da informacion bien  y no deja pagar
123,2/28/23 20:24,5,Mejores precios en TUA por que el vuelo muy barato pero el impuesto carísimo.. sale lo mismo
124,2/28/23 20:23,2,"Hay mucha discrepancia en los precios, sale mejor incluir el vuelo con el TUA"
125,2/28/23 20:19,5,"Muy lentoMuchos cargos extras, es mejor mostrar el valor total del boleto incluido el TUA"
126,2/28/23 20:16,0,no processa las transactiones
127,2/28/23 19:56,5,te agregan muchas cosas inservibles
128,2/28/23 19:49,7,La compra se realiza en demasiados pasos. Sería más práctico que todo viniera desglosado en la misma página
129,2/28/23 19:42,3,No hay sistema parta pago con tarjetas
130,2/28/23 19:40,7,CONCENTRANDO  EL PAGO
132,2/28/23 19:36,7,Aumentan costos por cada selección
133,2/28/23 19:33,8,"mas claro aggregando la TUA, calendario de precio mas claros"
134,2/28/23 19:27,8,Me gustaría agregar todo individualmente y no por grupo
135,2/28/23 19:14,8,experiencia del usuario
136,2/28/23 18:58,8,"Intentan vender hasta Alka Seltzer y curitas en este proceso, lo que lo conviente en muchos pasos, podrían omitir uno de ellos para agilizar la compra"
137,2/28/23 18:50,0,No me deja pagar!!!
138,2/28/23 18:49,7,ser mas directos demaciadas opciones
139,2/28/23 18:49,0,no pude hacer mi reservacion con mi tarjeta
140,2/28/23 18:47,3,Demasiadas opciones de engaño.
141,2/28/23 18:45,8,Precios
142,2/28/23 18:44,6,"Antes incluian una maleta documentada en Light, no me gusto ese cambio y tampoco que tratan de agregar el cobro para refund del vuelo y tenemos que quitarlo manualmente, eso nunca nos ha gustado de su pagina."
143,2/28/23 18:42,0,No pude pagar con mi tarjeta viva plus
144,2/28/23 18:39,8,EN LOS VUELOS REDONDOS NO ES NECESARIO DOCUMENTAR EN AMBOS VIAJES LAS MALETAS
145,2/28/23 18:38,8,sip
146,2/28/23 18:28,3,Dando los precios con Tua desde el principio
147,2/28/23 18:17,8,bajar el TUA y no deberian cobrar los asientos
148,2/28/23 18:13,0,terrible. no sirve cuando pago con mi carta de crédito.
149,2/28/23 17:57,8,"Me gusta, pero le agregan a uno adicionales que uno nunca eligió y es difícil darse cuenta, parece un poco engañoso"
150,2/28/23 17:56,0,Muy confuso todas las opcione que venden adicional
151,2/28/23 17:51,8,"El ""reembolso total"" no debería agregarse automáticamente, más si solo cubre los eventos mencionados. Me gustaría poder adquirirlo si solamente ""ya no quiero viajar"""
152,2/28/23 17:51,8,Costo excesivo de  seleccion de asientos
153,2/28/23 17:51,8,MUCHOS AGREGAR
154,2/28/23 17:46,8,Costos totales desde el inicio de la compra
155,2/28/23 17:37,0,"La pagina no funciona, no se puede pagar con tarjeta"
156,2/28/23 17:31,5,ES MUY CONFUSA LA PAGINA
157,2/28/23 17:30,7,"Está traqueada la tarifa , cada vez agregan mesa cosas. Al principio me hicieron creer que la tarifa era con impuestos, que era total y luego me aumentaron el impuesto de aeropuerto; de 3 mil y feria me salió en el doble."
158,2/28/23 17:29,8,Servicios dentro del avión.
159,2/28/23 17:19,5,Se trabó mucho durante el proceso
160,2/28/23 17:19,7,Omisiones que hace la aerolinea.
161,2/28/23 17:14,5,Con tantas opciones de adicionales suele hacer tedioso el proceso.
162,2/28/23 17:11,5,Problemas para pagar la reservación.
163,2/28/23 17:09,7,impusieron una compra de maleta y no hubo forma de quitarla
164,2/28/23 17:07,7,confusion con pagos y promocion de pagos a credito
165,2/28/23 17:07,2,Los costos no son claros y al final te dice que el costo que apareció ya no esta vigente. Esto es muy engañoso
166,2/28/23 17:06,0,No he podido hacer la compra después de una infinidad de intentos. Llamé a VivaAerobus y me dijeron que era que el banco la estaba declinando. Llamé al banco y ellos me dijeron que no había habido intento de compra. Qué eestá pasando?
167,2/28/23 17:06,8,todo bien
168,2/28/23 16:47,8,Tiene temas de UX por resolver.
169,2/28/23 16:45,5,Una página más amigable y clara con las rutas a seguir y donde se encuentra cada cosa.
170,2/28/23 16:42,4,"tarda mucho tiempo en cargar, no deja realizar pagos con tarjetas digitales BBVA"
171,2/28/23 16:41,0,NUNCA
172,2/28/23 16:36,8,exageran en el TUA he cotizado con otras aerolineas un mismo vuelo y sale mucho mas barato en ocasiones
173,2/28/23 16:31,8,TODO BIEN
174,2/28/23 16:19,6,QUITEN TANTAS OPCIONES A COBRAR ES ENGAÑOSO
175,2/28/23 16:16,8,bien
176,2/28/23 16:14,8,SON DEMASIADOS PASOS
177,2/28/23 16:06,4,No declinando tarjetas
178,2/28/23 16:01,7,Poder cambiar la info del pasajero más fácil  y que la selección de asientos sin cargo extra estuviera más accesible
179,2/28/23 16:01,7,no quiso agarrar mi tarjeta
180,2/28/23 15:57,6,precios
181,2/28/23 15:54,5,Son muchos pasos y se agregan servicios adicionales que incrementan el precio
182,2/28/23 15:49,0,no es user friendly tu pagina la odio
183,2/28/23 15:09,7,avisar del tua antes
184,2/28/23 15:06,8,SIENTO LA PAGINA UN POCO CONFUSA
185,2/28/23 14:59,2,"van mal, la sesion expira rapido, si vuelves atras pierde datos"
186,2/28/23 14:43,6,SI
187,2/28/23 14:40,8,Menos propuestas
188,2/28/23 14:34,7,la pagina esta muy lenta
189,2/28/23 13:35,1,SU PAGINA NO FUNCIONO 80% DEL TIEMPO CUANDO QUERIA COMPRARLES UN BOLETO
190,2/28/23 13:28,8,Intente con 3 tarjetas y no me dejo pagar con ninguna.
191,2/28/23 13:10,7,no se puede escoger dos combos diferentes cuando se compran varios boletos
192,2/28/23 11:46,4,Es un diseño hecho para ser tramposa y encabronante UIOdio Viva aerobus
193,2/28/23 11:10,5,Demasiados menús
194,2/28/23 10:02,6,REDUCCICEINDO LOS COSTOS Y PODER MODIFICAR LOS VUELOS INDIVIDUALMENTE YA QUE MUCHAS OCASIONES ALGUNOS PASAJEROS LLEVAN MENOS EQUIPAJE
195,2/28/23 9:43,6,"muy confuso, no te dan las opciones del equipaje por persona desde el inicio, sino que hasta que esta avanzado el proceso"
196,2/28/23 9:10,1,MUY TEDIOSA LA PAGINA PARA COMPRAR VUELOS Y SABER TOTALES
197,2/28/23 9:09,7,Sintantos rodeos  a la hora de comprar los boletos
198,2/28/23 8:23,6,"Son demasiados los pasos, si fuera más sencilla la experiencia al cliente, sería una página excepcional."
199,2/28/23 8:09,3,"Poco dificil navegar, no sive bien en mobile. Tampoco funciona cambiar a dolar a pesos"
200,2/28/23 8:09,0,NO DEJA PAGAR
201,2/28/23 6:59,7,la calidad
202,2/28/23 6:53,7,cada vez sale más caro volar con ustedes
203,2/28/23 6:52,8,"Deberian de indicar que si no es obligatorio escoger los asientos, parece que no hay de otra pero si hay y es gratis"
204,2/28/23 6:44,0,"Totalmente ineficiente y malintencionada , falta de claridad en informacion proprcionada iprincipalmente en precios"
205,2/28/23 6:36,3,Por Que mi amigo compraba el bileto y una problema occurado.  Mi bileta no mas available y yo so triste por que necesito entrado las informacion tambien.
206,2/28/23 6:24,7,Pague con BBVa tarjeta de credito mayor a $2000 y no me aparecio la opcion de pagar a meses sin intereses
207,2/28/23 6:11,7,que no tarden tanto las maletas
208,2/28/23 6:08,6,I WAS ON HOLD WAITING FOR A CSR FOR MORE THAN 50MIN.
209,2/28/23 5:57,2,"AGREGA EXTRAS QUE YO NO AGREGE, NO SE PUEDE QUITAR ORDEN DE CARRITO"
210,2/28/23 5:40,5,"Haciéndola mas intuitiva y entendible, es mucho cobro de servicios adicionales escondidos entre las muchas opciones disponibles."
211,2/28/23 5:36,8,Siendo más claros en la información solicitada.
212,2/28/23 5:23,8,no poniendo tanta publicidad y opciones porque confunden primero vuelo y despues extras
213,2/28/23 5:23,8,MÁS RÁPIDA
214,2/28/23 5:09,8,bien
215,2/28/23 5:06,8,Son muchos cambio de precios y se cobra por todo
216,2/28/23 5:02,4,los costos
217,2/28/23 5:01,7,La cantidad de submenus consecutivos vuelve tediosa la compra rapida de boletos
218,2/28/23 4:57,8,bien
219,2/28/23 4:56,5,atencion al cliente
220,2/28/23 4:55,0,acepten pagos con tarjeta
221,2/28/23 4:48,4,El precio es engañoso hasta el final te dejan quitar el seguro de protección total
222,2/28/23 4:38,8,Sin tantas páginas para llegar al checkout
223,2/28/23 4:29,8,Pongan mejores precios.
224,2/28/23 4:22,5,ser claros en el precio final
225,2/28/23 4:21,8,No poner anuncios encima del contenido
226,2/28/23 4:13,7,"Mucho, tu pagina es muy estresante. Muchos clicks, deberia ser mas rapida realizar una reservación."
227,2/28/23 4:11,8,Rapidez
228,2/28/23 4:06,8,Poner mas sencillo las formar de pago y los meses sin intereses
229,2/28/23 4:05,4,"Siendo mas rapida, con menos pasos a seguir y sin tantas opciones a agregar"
231,2/28/23 4:04,6,"Las preselecciones que usan para cobrar mal son de mal gusto, hacen sentir que quieren aprovecharse del consumidor. Es una práctica que seguró violenta los derechos del consumidor ante la profeco."
232,2/28/23 3:54,4,EXTREMADAMENTO COMPLICADA! DEBEN SIMPLIFICAR SU PROCESO
233,2/28/23 3:47,8,...
234,2/28/23 3:34,8,No jalo mi tarjeta de Banamex
235,2/28/23 3:32,7,siendo mas concientes con el pasajero... quieren cobrar hasta por respirar...
236,2/28/23 3:27,7,Demasiadas preguntas
237,2/28/23 3:21,6,NO ME GUSTA QUE METAN SEGUROS Y OTRAS COSAS AFUERZA SIN QUE TE DES CUENTA
238,2/28/23 3:14,8,NO TIENEN TODOS LOS DATOS DE COSTOS TIENE UNO QUE IR LLENANDO LA COMPRA DE BOLETOS PARA SABER EL COSTO REAL
239,2/28/23 3:05,7,ya cobren las cosas juntas. Ir subiendo con precios migajas es frustrante.
240,2/28/23 2:52,0,mala pagina
242,2/28/23 2:50,5,Poniendo los precios en los dias para verlos
243,2/28/23 2:49,7,no agregar seguro por si solo
244,2/28/23 2:44,0,su web dio sirve intente con 4 tarjetas activas y ninguna tomaron
245,2/28/23 2:44,7,Muchos pasos y apartados para llegar al final
246,2/28/23 2:44,7,Dificil cambiar datos de número de personas y pagar
247,2/28/23 2:43,8,Mejorando sistema de pago
248,2/28/23 2:33,8,Facturación inmediata cuando se paga
249,2/28/23 2:25,6,"Mucha informacion que abruma y confunde, el proceso para llegar al pago es muy largo con demasiadas ofertas"
250,2/28/23 2:15,8,"EL precio de TUA cambió antes de realizar mi pago, es algo que no me gustó."
251,2/28/23 2:11,2,NO ES AMIGABLE Y PROPORCIONA INFORMACION FALSA
252,2/28/23 2:05,6,demasiadas preguntas
253,2/28/23 2:05,7,la vez pasada me cancelaron el mero diame cambiaron el vueloy me ofrecieron un cupon para el siguiente vuelo que no llegò
254,2/28/23 2:02,6,demasiados precios ocultos
255,2/28/23 1:59,5,MANEJAR UN SOLO PRECIO
256,2/28/23 1:58,0,NO COBRANDO TODO APARTE Y MEJORAR PRECIOS
257,2/28/23 1:58,8,antes se podia pagar a meses sin intereses y ahora esa opcion ya no existe
258,2/28/23 1:56,8,NOT CHANGING THE AMOUNTS TO OFTEN
259,2/28/23 1:36,4,"Muchos errores, no me dejaba regresar a la pagina anterior y tuve que comenzar de nuevo 5 veces. Demasiado frustrajnte"
260,2/28/23 1:30,1,No acepta los pagos
261,2/28/23 1:26,7,el proceso de reservacion y pago en linea y mostrar el precio total al principio
262,2/28/23 1:14,7,QUITEN EL TUA O COBRAR MENOS TUA
263,2/28/23 1:07,8,agregar mas opciones de pagos si intereses
264,2/28/23 1:05,7,"TE AGREGA SERVICIOS QUE YA PREVIAMENTE CANCELASTE, PESIMO QUE TE COBREN POR ELEGIR ASIENTO."
265,2/28/23 1:00,6,esta muy lenta
266,2/28/23 0:58,3,"Su diseño para tratar de confundir a la gente con sus extras, no se si su esquema es legal, pero si creo que es moralmente reprobable"
267,2/28/23 0:57,8,ser mas claros en la informacion
268,2/28/23 0:53,8,Dar mas tiempo para tomar una decision sobre todo para la gente mayor.
269,2/28/23 0:49,6,menos anuncios y pops ups
270,2/28/23 0:47,7,tienen muchas trabas para ver el costo total
271,2/28/23 0:37,6,trampa que cobran el tua haste el final
272,2/28/23 0:24,8,Agregando el TUA y bajando el precio de los asientos
273,2/28/23 0:23,7,no ocultando precios
274,2/28/23 0:22,8,SER MAS CLAROS EN LOS ERRORES
275,2/28/23 0:21,5,si se paga un vuelo ya debe incluir el asiento
276,2/28/23 0:17,6,Son demasiados pasos para lograr comprar y precios confusos
277,2/28/23 0:15,7,Mas ágil su pagina al momento de reservar
278,2/28/23 0:15,3,Que tienen glitches al hacer compras
279,2/28/23 0:13,8,"yo agendo los viajes de mis familiares y todo a sido satisfactorio, hasta ahora"
280,2/28/23 0:11,7,"Cuando tratas de agregar equipaje documentado en uno solo de los pasajeros, al ser una reservación por 2 o más pasajeros, no está amigable ni claro."
281,2/28/23 0:10,6,No enganchando con los precios para dejar al final el TUA
282,2/28/23 0:10,8,Hacerla mas sencilla
283,2/28/23 0:07,8,"algo pesado varias hojas, podria estar mas practico"
284,2/28/23 0:03,8,ESPECIFICANDO LAS TARIFAS POR CATEGORIA DE EQUIPAJE
285,2/27/23 23:57,7,incluyan precio de asiento
286,2/27/23 23:44,8,Batalle para pagar con tarjeta de credito
287,2/27/23 23:39,0,PROBLEMAS CON EL PAGO EN LINEA
288,2/27/23 23:36,7,"batalle para pagar , con la tarjeta que estaba  ya en sistema,   se borraba  automaticamente el CVV  cdo le daba terminar"
289,2/27/23 23:35,2,NO ME DEJA PAGAR CON LA TARJETA QUIE ES PARA COMPRAR VUELOS
290,2/27/23 23:32,6,facilitar los procesos por celular
291,2/27/23 23:30,4,"muchos cambios, no es claro"
292,2/27/23 23:26,5,"Siempre se batalla para realizar el pago, aún cuando la tarjeta haya sido previamente usada y guardada, rechaza el pago sin motivo aparente y hay que recapturar cada vez"
293,2/27/23 23:24,8,cobren menos
294,2/27/23 23:04,7,la pagina vence y tienen que comenzar de 0
295,2/27/23 23:03,8,MENOS PASOS.. O HACER MAS CORTOS LOS PASOS QUE NO SEA UN PAGINA POR CADA UNO
296,2/27/23 23:02,5,pesima pagina
297,2/27/23 22:58,8,"lo de los documentos, tiene que poner varias ves."
298,2/27/23 22:54,6,TENER AYUDAR DE UNA PERSONA EN LINEA TELEFONICA SIN GRABADORA
299,2/27/23 22:54,8,no me dejo capturar pasaportes
300,2/27/23 22:38,0,"sitio web muy trabado, en el checkout me apareció como 30 veces un recuadro que decía ""tu sesión está por expirar"", oprimía en continuar y cada 2 segundos volvía a aparecer"
301,2/27/23 22:29,7,"lo hacen demasiado enredado y los precios son engañosos,"
302,2/27/23 22:20,5,MUCHA PUBLICIDAD
303,2/27/23 22:17,0,"Imposible pagar con tarjetas de crédito. Hay que hablar para realizar el pago y obviamente además de la demora en exceso, las tarifas y asientos escogidos ya no estan disponibles"
304,2/27/23 22:11,5,Muy confusa por tanto servicio extra
305,2/27/23 22:11,6,reducir los pasos para llegar al pago
306,2/27/23 22:08,3,U just fake the price by adding 50% at the last step
307,2/27/23 22:05,5,PONIENDO LA OPCIÓN DE MESES EN LA PAGINA
308,2/27/23 22:05,1,Digan los precios reales transparentemente y desde el principio. No agreguen los servicios con costo adicional automáticamente.
309,2/27/23 22:02,5,Difícil pagar con tarjeta de crédito
310,2/27/23 22:01,8,NO PONGAN TANTAS OPCIONES DE SERVICIOS
311,2/27/23 21:52,8,"Personalizar datos finales de (equipaje, niños y mascotas) que se lleguen a seleccionar ya comprado) para no estar descifrando en el apartado que corresponde a lo que yo compre para viajar. Sigan mejorando, la verdad se esta haciendo cada vez mas practica su pagina de ventas y es un gusto preferir volar con ustedes. Espero me contacte alguien de ustedes pues tengo un problema pues compre boleto de adulto y mi mama después quiso viajar con su nieta junto al boleto que ya les mencione pero no se como unirlos en una misma compra si el boleto ya pagado el viva Zero. I celular es 9841541769. Aún así voy a intentar buscar su contacto y exponer mi caso. saludos"
312,2/27/23 21:52,0,No me deja pagar con mi tarjeta de credito. Pesimo sistema de pagos
314,2/27/23 21:50,7,"conexion sin interrupciones, se bloqueo al pagar el TUA , se perdieron los asientos y subieron de precio"
315,2/27/23 21:45,8,demasiados clicks
316,2/27/23 21:42,0,"Te ponen bajo el costo pero al final te sale igual que la competencia, estonces pesimo"
317,2/27/23 21:36,8,MAS SENCILLO EL PROCESO SIN OBLIGAR A COMPRAR COSAS DE MAS
318,2/27/23 21:28,6,Creo que los precios podrían ser más bajos. Pero en general bien.
319,2/27/23 21:28,5,"Esconden demasiado los cargos no solicitados, por ejemplo el seguro de Reembolso Total. Perdí demasiado tiempo para poder encontrar cómo quitarlo. Es un abuso."
320,2/27/23 21:22,8,Mas rapidez en la asignacion de los datos
321,2/27/23 21:22,3,English please
322,2/27/23 21:18,4,Que los precios base que muestran fueran reales
323,2/27/23 21:14,7,Hagan que la pagina deje de cambiar los precios que muestra cuando uno le da click
324,2/27/23 21:13,8,Especificar lo del seguro de vuelo antes
325,2/27/23 21:11,7,"Los precios subieron mucho, sin embargo siguen siendo los mas baratos"
326,2/27/23 21:03,4,No me permitio hacer uso de codigo de descuento 33070565520600001
327,2/27/23 21:00,0,Hice una compra de casi 4000mxn y recibi 0 doters
328,2/27/23 20:56,7,"Si compras vuelos individuales te sale mas barato que comprarlos juntos, no hace sentido"
329,2/27/23 20:55,7,Evitar propaganda que puede confundir al viajero y solo beneficia a la línea aérea.
330,2/27/23 20:45,0,NUNCA
332,2/27/23 20:27,7,"un poco lento, mucho anuncio,"
333,2/27/23 20:27,6,No cobrando por cada  cosa.
334,2/27/23 20:13,7,La página tarda mucho en cargar.
335,2/27/23 20:12,0,First you change the price when I check out. Then you wont let me pay!!
336,2/27/23 19:56,8,sin comentarios
337,2/27/23 19:56,8,gracias
338,2/27/23 19:51,4,me parece increible que en cuestion de minutos cambiien los precios  muy mal uno no siempre cuenta ocn la mejor conecion a internet
339,2/27/23 19:50,8,Más claridad en el proceso de la tarifa
340,2/27/23 19:48,8,MEJORANDO LOS HORARIOS
341,2/27/23 19:34,0,No pueden aceptar un puto pago con miles de tarjetas
342,2/27/23 19:33,8,Poner el costo total incluyendo el TUA desde el inicio
